indicator_id,indicator_text,bednarova_cii,cpi_normalised,cpi_original,roth_normalised,roth_original,total_unweighted,our_weight,source_quote
openness.5,"Searchable, simultaneous sorting with multiple criteria",4,5.25,3,2,4,11.25,3,"Verbatim Suppl File 1 Table 4 (""Details of weighted indicators"") of Lacy-Nichols 2025. Per the table caption: ""The CPI and Roth weights were normalised to the Bednarova framework (original weights shown in parenthesis). The weights given for each framework were summed (total column). Scores 10 and higher were weighted 3, scores 1 and higher were weighted 2. We also identified four indicators that we believe are crucial to transparency and also warrant a weight of 3 based on our experience analysing lobbyist registers."" Bednarova citation: Bednárová P. The Evaluation of the Government Draft Lobbying Act in the Czech Republic beyond the Framework of RIA. E+M Ekonomie a Management. 2020;23:33-47. CPI = Center for Public Integrity, Hired Guns Methodology 2007. Roth = Roth A., Creating a Valid and Accessible Robustness Index (2020)."
openness.6,"Unique identifiers (e.g., for lobbyists, individuals, organisations)",,,,,,,1,"Verbatim Suppl File 1 Table 4 (""Details of weighted indicators"") of Lacy-Nichols 2025. Per the table caption: ""The CPI and Roth weights were normalised to the Bednarova framework (original weights shown in parenthesis). The weights given for each framework were summed (total column). Scores 10 and higher were weighted 3, scores 1 and higher were weighted 2. We also identified four indicators that we believe are crucial to transparency and also warrant a weight of 3 based on our experience analysing lobbyist registers."" Bednarova citation: Bednárová P. The Evaluation of the Government Draft Lobbying Act in the Czech Republic beyond the Framework of RIA. E+M Ekonomie a Management. 2020;23:33-47. CPI = Center for Public Integrity, Hired Guns Methodology 2007. Roth = Roth A., Creating a Valid and Accessible Robustness Index (2020)."
openness.7,"Linked or interconnected data (to other datasets, e.g., campaign financing)",,,,,,,1,"Verbatim Suppl File 1 Table 4 (""Details of weighted indicators"") of Lacy-Nichols 2025. Per the table caption: ""The CPI and Roth weights were normalised to the Bednarova framework (original weights shown in parenthesis). The weights given for each framework were summed (total column). Scores 10 and higher were weighted 3, scores 1 and higher were weighted 2. We also identified four indicators that we believe are crucial to transparency and also warrant a weight of 3 based on our experience analysing lobbyist registers."" Bednarova citation: Bednárová P. The Evaluation of the Government Draft Lobbying Act in the Czech Republic beyond the Framework of RIA. E+M Ekonomie a Management. 2020;23:33-47. CPI = Center for Public Integrity, Hired Guns Methodology 2007. Roth = Roth A., Creating a Valid and Accessible Robustness Index (2020)."
openness.8,Historical data in lobbyist register is archived and published; downloadable,,,,,,,1,"Verbatim Suppl File 1 Table 4 (""Details of weighted indicators"") of Lacy-Nichols 2025. Per the table caption: ""The CPI and Roth weights were normalised to the Bednarova framework (original weights shown in parenthesis). The weights given for each framework were summed (total column). Scores 10 and higher were weighted 3, scores 1 and higher were weighted 2. We also identified four indicators that we believe are crucial to transparency and also warrant a weight of 3 based on our experience analysing lobbyist registers."" Bednarova citation: Bednárová P. The Evaluation of the Government Draft Lobbying Act in the Czech Republic beyond the Framework of RIA. E+M Ekonomie a Management. 2020;23:33-47. CPI = Center for Public Integrity, Hired Guns Methodology 2007. Roth = Roth A., Creating a Valid and Accessible Robustness Index (2020)."
openness.9,Changes or updates documented with a flagging system,,,,,,,1,"Verbatim Suppl File 1 Table 4 (""Details of weighted indicators"") of Lacy-Nichols 2025. Per the table caption: ""The CPI and Roth weights were normalised to the Bednarova framework (original weights shown in parenthesis). The weights given for each framework were summed (total column). Scores 10 and higher were weighted 3, scores 1 and higher were weighted 2. We also identified four indicators that we believe are crucial to transparency and also warrant a weight of 3 based on our experience analysing lobbyist registers."" Bednarova citation: Bednárová P. The Evaluation of the Government Draft Lobbying Act in the Czech Republic beyond the Framework of RIA. E+M Ekonomie a Management. 2020;23:33-47. CPI = Center for Public Integrity, Hired Guns Methodology 2007. Roth = Roth A., Creating a Valid and Accessible Robustness Index (2020)."
descriptors.1,"Full names of lobbyists/organisations, (not abbreviations or ambiguous names)",3,5.25,3,,,8.25,2,"Verbatim Suppl File 1 Table 4 (""Details of weighted indicators"") of Lacy-Nichols 2025. Per the table caption: ""The CPI and Roth weights were normalised to the Bednarova framework (original weights shown in parenthesis). The weights given for each framework were summed (total column). Scores 10 and higher were weighted 3, scores 1 and higher were weighted 2. We also identified four indicators that we believe are crucial to transparency and also warrant a weight of 3 based on our experience analysing lobbyist registers."" Bednarova citation: Bednárová P. The Evaluation of the Government Draft Lobbying Act in the Czech Republic beyond the Framework of RIA. E+M Ekonomie a Management. 2020;23:33-47. CPI = Center for Public Integrity, Hired Guns Methodology 2007. Roth = Roth A., Creating a Valid and Accessible Robustness Index (2020)."
descriptors.2,"Contact details provided (e.g. Address, telephone and/or website)",,,,,,,1,"Verbatim Suppl File 1 Table 4 (""Details of weighted indicators"") of Lacy-Nichols 2025. Per the table caption: ""The CPI and Roth weights were normalised to the Bednarova framework (original weights shown in parenthesis). The weights given for each framework were summed (total column). Scores 10 and higher were weighted 3, scores 1 and higher were weighted 2. We also identified four indicators that we believe are crucial to transparency and also warrant a weight of 3 based on our experience analysing lobbyist registers."" Bednarova citation: Bednárová P. The Evaluation of the Government Draft Lobbying Act in the Czech Republic beyond the Framework of RIA. E+M Ekonomie a Management. 2020;23:33-47. CPI = Center for Public Integrity, Hired Guns Methodology 2007. Roth = Roth A., Creating a Valid and Accessible Robustness Index (2020)."
descriptors.3,"Legal form (e.g. public, private, not-for-profit, NGO, government)",,,,,,,1,"Verbatim Suppl File 1 Table 4 (""Details of weighted indicators"") of Lacy-Nichols 2025. Per the table caption: ""The CPI and Roth weights were normalised to the Bednarova framework (original weights shown in parenthesis). The weights given for each framework were summed (total column). Scores 10 and higher were weighted 3, scores 1 and higher were weighted 2. We also identified four indicators that we believe are crucial to transparency and also warrant a weight of 3 based on our experience analysing lobbyist registers."" Bednarova citation: Bednárová P. The Evaluation of the Government Draft Lobbying Act in the Czech Republic beyond the Framework of RIA. E+M Ekonomie a Management. 2020;23:33-47. CPI = Center for Public Integrity, Hired Guns Methodology 2007. Roth = Roth A., Creating a Valid and Accessible Robustness Index (2020)."
descriptors.4,Company registration number,,,,,,,1,"Verbatim Suppl File 1 Table 4 (""Details of weighted indicators"") of Lacy-Nichols 2025. Per the table caption: ""The CPI and Roth weights were normalised to the Bednarova framework (original weights shown in parenthesis). The weights given for each framework were summed (total column). Scores 10 and higher were weighted 3, scores 1 and higher were weighted 2. We also identified four indicators that we believe are crucial to transparency and also warrant a weight of 3 based on our experience analysing lobbyist registers."" Bednarova citation: Bednárová P. The Evaluation of the Government Draft Lobbying Act in the Czech Republic beyond the Framework of RIA. E+M Ekonomie a Management. 2020;23:33-47. CPI = Center for Public Integrity, Hired Guns Methodology 2007. Roth = Roth A., Creating a Valid and Accessible Robustness Index (2020)."
descriptors.5,"Sector (e.g. transport, energy), sub sector",,,,,,,1,"Verbatim Suppl File 1 Table 4 (""Details of weighted indicators"") of Lacy-Nichols 2025. Per the table caption: ""The CPI and Roth weights were normalised to the Bednarova framework (original weights shown in parenthesis). The weights given for each framework were summed (total column). Scores 10 and higher were weighted 3, scores 1 and higher were weighted 2. We also identified four indicators that we believe are crucial to transparency and also warrant a weight of 3 based on our experience analysing lobbyist registers."" Bednarova citation: Bednárová P. The Evaluation of the Government Draft Lobbying Act in the Czech Republic beyond the Framework of RIA. E+M Ekonomie a Management. 2020;23:33-47. CPI = Center for Public Integrity, Hired Guns Methodology 2007. Roth = Roth A., Creating a Valid and Accessible Robustness Index (2020)."
descriptors.6,"Type of lobbyist contract (e.g., salaried staff, contracted)",,,,,,,1,"Verbatim Suppl File 1 Table 4 (""Details of weighted indicators"") of Lacy-Nichols 2025. Per the table caption: ""The CPI and Roth weights were normalised to the Bednarova framework (original weights shown in parenthesis). The weights given for each framework were summed (total column). Scores 10 and higher were weighted 3, scores 1 and higher were weighted 2. We also identified four indicators that we believe are crucial to transparency and also warrant a weight of 3 based on our experience analysing lobbyist registers."" Bednarova citation: Bednárová P. The Evaluation of the Government Draft Lobbying Act in the Czech Republic beyond the Framework of RIA. E+M Ekonomie a Management. 2020;23:33-47. CPI = Center for Public Integrity, Hired Guns Methodology 2007. Roth = Roth A., Creating a Valid and Accessible Robustness Index (2020)."
revolving_door.1,"List of all prior public offices that lobbyists have held, dates when left office",,,,,,,3,"Verbatim Suppl File 1 Table 4 (""Details of weighted indicators"") of Lacy-Nichols 2025. Per the table caption: ""The CPI and Roth weights were normalised to the Bednarova framework (original weights shown in parenthesis). The weights given for each framework were summed (total column). Scores 10 and higher were weighted 3, scores 1 and higher were weighted 2. We also identified four indicators that we believe are crucial to transparency and also warrant a weight of 3 based on our experience analysing lobbyist registers."" Bednarova citation: Bednárová P. The Evaluation of the Government Draft Lobbying Act in the Czech Republic beyond the Framework of RIA. E+M Ekonomie a Management. 2020;23:33-47. CPI = Center for Public Integrity, Hired Guns Methodology 2007. Roth = Roth A., Creating a Valid and Accessible Robustness Index (2020)."
revolving_door.2,"Database of public officials who are subject to a ban on lobbying (e.g., cooling off period)",,,,,,,1,"Verbatim Suppl File 1 Table 4 (""Details of weighted indicators"") of Lacy-Nichols 2025. Per the table caption: ""The CPI and Roth weights were normalised to the Bednarova framework (original weights shown in parenthesis). The weights given for each framework were summed (total column). Scores 10 and higher were weighted 3, scores 1 and higher were weighted 2. We also identified four indicators that we believe are crucial to transparency and also warrant a weight of 3 based on our experience analysing lobbyist registers."" Bednarova citation: Bednárová P. The Evaluation of the Government Draft Lobbying Act in the Czech Republic beyond the Framework of RIA. E+M Ekonomie a Management. 2020;23:33-47. CPI = Center for Public Integrity, Hired Guns Methodology 2007. Roth = Roth A., Creating a Valid and Accessible Robustness Index (2020)."
relationships.0,Lobbyist list,,,,,,,3,"Verbatim Suppl File 1 Table 4 (""Details of weighted indicators"") of Lacy-Nichols 2025. Per the table caption: ""The CPI and Roth weights were normalised to the Bednarova framework (original weights shown in parenthesis). The weights given for each framework were summed (total column). Scores 10 and higher were weighted 3, scores 1 and higher were weighted 2. We also identified four indicators that we believe are crucial to transparency and also warrant a weight of 3 based on our experience analysing lobbyist registers."" Bednarova citation: Bednárová P. The Evaluation of the Government Draft Lobbying Act in the Czech Republic beyond the Framework of RIA. E+M Ekonomie a Management. 2020;23:33-47. CPI = Center for Public Integrity, Hired Guns Methodology 2007. Roth = Roth A., Creating a Valid and Accessible Robustness Index (2020)."
relationships.1,Client list (for all consultant lobbyists and firms),6,1.75,1,,,7.75,2,"Verbatim Suppl File 1 Table 4 (""Details of weighted indicators"") of Lacy-Nichols 2025. Per the table caption: ""The CPI and Roth weights were normalised to the Bednarova framework (original weights shown in parenthesis). The weights given for each framework were summed (total column). Scores 10 and higher were weighted 3, scores 1 and higher were weighted 2. We also identified four indicators that we believe are crucial to transparency and also warrant a weight of 3 based on our experience analysing lobbyist registers."" Bednarova citation: Bednárová P. The Evaluation of the Government Draft Lobbying Act in the Czech Republic beyond the Framework of RIA. E+M Ekonomie a Management. 2020;23:33-47. CPI = Center for Public Integrity, Hired Guns Methodology 2007. Roth = Roth A., Creating a Valid and Accessible Robustness Index (2020)."
relationships.2,Names of all sponsors or members (for associations and representative groups),,,,,,,1,"Verbatim Suppl File 1 Table 4 (""Details of weighted indicators"") of Lacy-Nichols 2025. Per the table caption: ""The CPI and Roth weights were normalised to the Bednarova framework (original weights shown in parenthesis). The weights given for each framework were summed (total column). Scores 10 and higher were weighted 3, scores 1 and higher were weighted 2. We also identified four indicators that we believe are crucial to transparency and also warrant a weight of 3 based on our experience analysing lobbyist registers."" Bednarova citation: Bednárová P. The Evaluation of the Government Draft Lobbying Act in the Czech Republic beyond the Framework of RIA. E+M Ekonomie a Management. 2020;23:33-47. CPI = Center for Public Integrity, Hired Guns Methodology 2007. Roth = Roth A., Creating a Valid and Accessible Robustness Index (2020)."
relationships.3,"List of board seats held (e.g. in associations, companies)",,,,,,,1,"Verbatim Suppl File 1 Table 4 (""Details of weighted indicators"") of Lacy-Nichols 2025. Per the table caption: ""The CPI and Roth weights were normalised to the Bednarova framework (original weights shown in parenthesis). The weights given for each framework were summed (total column). Scores 10 and higher were weighted 3, scores 1 and higher were weighted 2. We also identified four indicators that we believe are crucial to transparency and also warrant a weight of 3 based on our experience analysing lobbyist registers."" Bednarova citation: Bednárová P. The Evaluation of the Government Draft Lobbying Act in the Czech Republic beyond the Framework of RIA. E+M Ekonomie a Management. 2020;23:33-47. CPI = Center for Public Integrity, Hired Guns Methodology 2007. Roth = Roth A., Creating a Valid and Accessible Robustness Index (2020)."
relationships.4,"Direct business associations with public officials, candidates or members of their households",,1.75,1,,,1.75,2,"Verbatim Suppl File 1 Table 4 (""Details of weighted indicators"") of Lacy-Nichols 2025. Per the table caption: ""The CPI and Roth weights were normalised to the Bednarova framework (original weights shown in parenthesis). The weights given for each framework were summed (total column). Scores 10 and higher were weighted 3, scores 1 and higher were weighted 2. We also identified four indicators that we believe are crucial to transparency and also warrant a weight of 3 based on our experience analysing lobbyist registers."" Bednarova citation: Bednárová P. The Evaluation of the Government Draft Lobbying Act in the Czech Republic beyond the Framework of RIA. E+M Ekonomie a Management. 2020;23:33-47. CPI = Center for Public Integrity, Hired Guns Methodology 2007. Roth = Roth A., Creating a Valid and Accessible Robustness Index (2020)."
financials.1,Total lobbying income (for consultant lobbyists/lobby firms),,3.5,2,,,3.5,2,"Verbatim Suppl File 1 Table 4 (""Details of weighted indicators"") of Lacy-Nichols 2025. Per the table caption: ""The CPI and Roth weights were normalised to the Bednarova framework (original weights shown in parenthesis). The weights given for each framework were summed (total column). Scores 10 and higher were weighted 3, scores 1 and higher were weighted 2. We also identified four indicators that we believe are crucial to transparency and also warrant a weight of 3 based on our experience analysing lobbyist registers."" Bednarova citation: Bednárová P. The Evaluation of the Government Draft Lobbying Act in the Czech Republic beyond the Framework of RIA. E+M Ekonomie a Management. 2020;23:33-47. CPI = Center for Public Integrity, Hired Guns Methodology 2007. Roth = Roth A., Creating a Valid and Accessible Robustness Index (2020)."
financials.2,Lobbying income per client,,1.75,1,,,1.75,2,"Verbatim Suppl File 1 Table 4 (""Details of weighted indicators"") of Lacy-Nichols 2025. Per the table caption: ""The CPI and Roth weights were normalised to the Bednarova framework (original weights shown in parenthesis). The weights given for each framework were summed (total column). Scores 10 and higher were weighted 3, scores 1 and higher were weighted 2. We also identified four indicators that we believe are crucial to transparency and also warrant a weight of 3 based on our experience analysing lobbyist registers."" Bednarova citation: Bednárová P. The Evaluation of the Government Draft Lobbying Act in the Czech Republic beyond the Framework of RIA. E+M Ekonomie a Management. 2020;23:33-47. CPI = Center for Public Integrity, Hired Guns Methodology 2007. Roth = Roth A., Creating a Valid and Accessible Robustness Index (2020)."
financials.3,"Income sources (e.g. including government agencies, grant-making foundations, companies) and amount received",,,,2,4,2,2,"Verbatim Suppl File 1 Table 4 (""Details of weighted indicators"") of Lacy-Nichols 2025. Per the table caption: ""The CPI and Roth weights were normalised to the Bednarova framework (original weights shown in parenthesis). The weights given for each framework were summed (total column). Scores 10 and higher were weighted 3, scores 1 and higher were weighted 2. We also identified four indicators that we believe are crucial to transparency and also warrant a weight of 3 based on our experience analysing lobbyist registers."" Bednarova citation: Bednárová P. The Evaluation of the Government Draft Lobbying Act in the Czech Republic beyond the Framework of RIA. E+M Ekonomie a Management. 2020;23:33-47. CPI = Center for Public Integrity, Hired Guns Methodology 2007. Roth = Roth A., Creating a Valid and Accessible Robustness Index (2020)."
financials.4,Number of lobbyists employed/contracted (total and FTE),,,,,,,1,"Verbatim Suppl File 1 Table 4 (""Details of weighted indicators"") of Lacy-Nichols 2025. Per the table caption: ""The CPI and Roth weights were normalised to the Bednarova framework (original weights shown in parenthesis). The weights given for each framework were summed (total column). Scores 10 and higher were weighted 3, scores 1 and higher were weighted 2. We also identified four indicators that we believe are crucial to transparency and also warrant a weight of 3 based on our experience analysing lobbyist registers."" Bednarova citation: Bednárová P. The Evaluation of the Government Draft Lobbying Act in the Czech Republic beyond the Framework of RIA. E+M Ekonomie a Management. 2020;23:33-47. CPI = Center for Public Integrity, Hired Guns Methodology 2007. Roth = Roth A., Creating a Valid and Accessible Robustness Index (2020)."
financials.5,Amount of time spent on lobbying,,3.5,2,,,3.5,2,"Verbatim Suppl File 1 Table 4 (""Details of weighted indicators"") of Lacy-Nichols 2025. Per the table caption: ""The CPI and Roth weights were normalised to the Bednarova framework (original weights shown in parenthesis). The weights given for each framework were summed (total column). Scores 10 and higher were weighted 3, scores 1 and higher were weighted 2. We also identified four indicators that we believe are crucial to transparency and also warrant a weight of 3 based on our experience analysing lobbyist registers."" Bednarova citation: Bednárová P. The Evaluation of the Government Draft Lobbying Act in the Czech Republic beyond the Framework of RIA. E+M Ekonomie a Management. 2020;23:33-47. CPI = Center for Public Integrity, Hired Guns Methodology 2007. Roth = Roth A., Creating a Valid and Accessible Robustness Index (2020)."
financials.6,Total lobbying expenditure (both in-house and consulting),,5.25,3,1,2,6.25,2,"Verbatim Suppl File 1 Table 4 (""Details of weighted indicators"") of Lacy-Nichols 2025. Per the table caption: ""The CPI and Roth weights were normalised to the Bednarova framework (original weights shown in parenthesis). The weights given for each framework were summed (total column). Scores 10 and higher were weighted 3, scores 1 and higher were weighted 2. We also identified four indicators that we believe are crucial to transparency and also warrant a weight of 3 based on our experience analysing lobbyist registers."" Bednarova citation: Bednárová P. The Evaluation of the Government Draft Lobbying Act in the Czech Republic beyond the Framework of RIA. E+M Ekonomie a Management. 2020;23:33-47. CPI = Center for Public Integrity, Hired Guns Methodology 2007. Roth = Roth A., Creating a Valid and Accessible Robustness Index (2020)."
financials.7,Compensated/uncompensated lobbying activities,,1.75,1,,,1.75,2,"Verbatim Suppl File 1 Table 4 (""Details of weighted indicators"") of Lacy-Nichols 2025. Per the table caption: ""The CPI and Roth weights were normalised to the Bednarova framework (original weights shown in parenthesis). The weights given for each framework were summed (total column). Scores 10 and higher were weighted 3, scores 1 and higher were weighted 2. We also identified four indicators that we believe are crucial to transparency and also warrant a weight of 3 based on our experience analysing lobbyist registers."" Bednarova citation: Bednárová P. The Evaluation of the Government Draft Lobbying Act in the Czech Republic beyond the Framework of RIA. E+M Ekonomie a Management. 2020;23:33-47. CPI = Center for Public Integrity, Hired Guns Methodology 2007. Roth = Roth A., Creating a Valid and Accessible Robustness Index (2020)."
financials.8,Expenditure per issue,,,,2,4,2,2,"Verbatim Suppl File 1 Table 4 (""Details of weighted indicators"") of Lacy-Nichols 2025. Per the table caption: ""The CPI and Roth weights were normalised to the Bednarova framework (original weights shown in parenthesis). The weights given for each framework were summed (total column). Scores 10 and higher were weighted 3, scores 1 and higher were weighted 2. We also identified four indicators that we believe are crucial to transparency and also warrant a weight of 3 based on our experience analysing lobbyist registers."" Bednarova citation: Bednárová P. The Evaluation of the Government Draft Lobbying Act in the Czech Republic beyond the Framework of RIA. E+M Ekonomie a Management. 2020;23:33-47. CPI = Center for Public Integrity, Hired Guns Methodology 2007. Roth = Roth A., Creating a Valid and Accessible Robustness Index (2020)."
financials.9,Expenditure on membership/sponsorship of organisations that lobby (e.g. trade associations),,,,,,,1,"Verbatim Suppl File 1 Table 4 (""Details of weighted indicators"") of Lacy-Nichols 2025. Per the table caption: ""The CPI and Roth weights were normalised to the Bednarova framework (original weights shown in parenthesis). The weights given for each framework were summed (total column). Scores 10 and higher were weighted 3, scores 1 and higher were weighted 2. We also identified four indicators that we believe are crucial to transparency and also warrant a weight of 3 based on our experience analysing lobbyist registers."" Bednarova citation: Bednárová P. The Evaluation of the Government Draft Lobbying Act in the Czech Republic beyond the Framework of RIA. E+M Ekonomie a Management. 2020;23:33-47. CPI = Center for Public Integrity, Hired Guns Methodology 2007. Roth = Roth A., Creating a Valid and Accessible Robustness Index (2020)."
