paper,indicator_id,indicator_text,section
FOCAL,relationships.3,"List of board seats held (eg, in associations, companies)",Relationships: The connections between the different actors involved in or benefiting from lobbying
FOCAL,relationships.4,"Direct business associations with public officials, candidates or members of their households",Relationships: The connections between the different actors involved in or benefiting from lobbying
FOCAL,financials.1,Total lobbying income (for consultant lobbyists/lobby firms),Financials: The flow of money spent and earned through lobbying activities
FOCAL,financials.2,Lobbying income per client,Financials: The flow of money spent and earned through lobbying activities
FOCAL,financials.3,"Income sources (eg, including government agencies, grant-making foundations, companies) and amount received",Financials: The flow of money spent and earned through lobbying activities
FOCAL,financials.4,Number of lobbyists employed/contracted (total and full-time equivalent),Financials: The flow of money spent and earned through lobbying activities
FOCAL,financials.5,Amount of time spent on lobbying,Financials: The flow of money spent and earned through lobbying activities
FOCAL,financials.6,Total lobbying expenditure (both in-house and consulting),Financials: The flow of money spent and earned through lobbying activities
FOCAL,financials.7,Compensated/uncompensated lobbying activities,Financials: The flow of money spent and earned through lobbying activities
FOCAL,financials.8,Expenditure per issue,Financials: The flow of money spent and earned through lobbying activities
FOCAL,financials.9,"Expenditure on membership/sponsorship of organisations that lobby (eg, trade associations)",Financials: The flow of money spent and earned through lobbying activities
FOCAL,financials.10,"Expenditures benefitting public officials or employees including financial/non-financial gifts and support, employer/principal on whose behalf expenses were made",Financials: The flow of money spent and earned through lobbying activities
FOCAL,financials.11,"Campaign/political contributions, including in-kind",Financials: The flow of money spent and earned through lobbying activities
FOCAL,contact_log.1,Organisation/interest(s) represented (beneficiary),Contact log: The activities of lobbyists
FOCAL,contact_log.2,Names of persons contacted and their position/role,Contact log: The activities of lobbyists
FOCAL,contact_log.3,Institution/department contacted,Contact log: The activities of lobbyists
FOCAL,contact_log.4,"If a meeting, names of all attendees",Contact log: The activities of lobbyists
FOCAL,contact_log.5,Date,Contact log: The activities of lobbyists
FOCAL,contact_log.6,"Form (eg, in person meeting, video conference, phone call)",Contact log: The activities of lobbyists
FOCAL,contact_log.7,Location,Contact log: The activities of lobbyists
FOCAL,contact_log.8,"Any materials that were shared, excluding commercially sensitive materials (before, during and after the meeting)",Contact log: The activities of lobbyists
FOCAL,contact_log.9,Topics/issues discussed,Contact log: The activities of lobbyists
FOCAL,contact_log.10,"Outcomes sought (eg, legislation/policies supported/opposed)",Contact log: The activities of lobbyists
FOCAL,contact_log.11,"Targeted areas of public policy or legislation, including a list of official legislative references/bill numbers/measures etc",Contact log: The activities of lobbyists
HiredGuns,Q1,"In addition to legislative lobbyists, does the deﬁnition recognize executive branch lobbyists?",Deﬁnition of Lobbyist
HiredGuns,Q2,"How much does an individual have to make/spend to qualify as a lobbyist or to prompt registration as a lobbyist, according to the deﬁnition?",Deﬁnition of Lobbyist
HiredGuns,Q3,Is a lobbyist required to ﬁle a registration form?,Individual Registration
HiredGuns,Q4,How many days can lobbying take place before registration is required?,Individual Registration
HiredGuns,Q5,Is subject matter or bill number to be addressed by a lobbyist required on registration forms?,Individual Registration
HiredGuns,Q6,How often is registration by a lobbyist required?,Individual Registration
HiredGuns,Q7,Within how many days must a lobbyist notify the oversight agency of changes in registration?,Individual Registration
HiredGuns,Q8,Is a lobbyist required to submit a photograph with registration?,Individual Registration
HiredGuns,Q9,Is a lobbyist required to identify by name each employer on the registration form?,Individual Registration
HiredGuns,Q10,"Is a lobbyist required to include on the registration form any additional information about the type of lobbying work he or she does (i.e., compensated or non-compensated/contract or salaried)?",Individual Registration
HiredGuns,Q11,Is a lobbyist required to ﬁle a spending report?,Individual Spending Disclosure
HiredGuns,Q12,How often during each two-year cycle is a lobbyist required to report spending?,Individual Spending Disclosure
HiredGuns,Q13,Is compensation/salary required to be reported by a lobbyist on spending reports?,Individual Spending Disclosure
HiredGuns,Q14,"Are summaries (totals) of spending classiﬁed by category types (i.e., gifts, entertainment, postage, etc.)?",Individual Spending Disclosure
HiredGuns,Q15,What spending must be itemized?,Individual Spending Disclosure
HiredGuns,Q16,Is the lobbyist employer/principal on whose behalf the itemized expenditure was made required to be identiﬁed?,Individual Spending Disclosure
HiredGuns,Q17,Is the recipient of the itemized expenditure required to be identiﬁed?,Individual Spending Disclosure
HiredGuns,Q18,Is the date of the itemized expenditure required to be reported?,Individual Spending Disclosure
HiredGuns,Q19,Is a description of the itemized expenditure required to be reported?,Individual Spending Disclosure
HiredGuns,Q20,Is subject matter or bill number to be addressed by a lobbyist required on spending reports?,Individual Spending Disclosure
HiredGuns,Q21,Is spending on household members of public ofﬁcials by a lobbyist required to be reported?,Individual Spending Disclosure
HiredGuns,Q22,"Is a lobbyist required to disclose direct business associations with public ofﬁcials, candidates or members of their households?",Individual Spending Disclosure
HiredGuns,Q23,What is the statutory provision for a lobbyist giving and reporting gifts?,Individual Spending Disclosure
HiredGuns,Q25,Is a lobbyist who has done no spending during a ﬁling period required to make a report of no activity?,Individual Spending Disclosure
HiredGuns,Q26,Is an employer or principal of a lobbyist required to ﬁle a spending report?,Employer Spending Disclosure
HiredGuns,Q27,Is compensation/salary required to be reported on employer/principal spending reports?,Employer Spending Disclosure
HiredGuns,Q28,Does the oversight agency provide lobbyists/employers with online registration?,Electronic Filing
HiredGuns,Q29,Does the oversight agency provide lobbyists/employers with online spending reporting?,Electronic Filing
HiredGuns,Q30,Does the oversight agency provide training about how to ﬁle registrations/spending reports electronically?,Electronic Filing
HiredGuns,Q31,Location/format of registrations or active lobbyist directory,Public Access
HiredGuns,Q32,Location/format of spending reports,Public Access
HiredGuns,Q33,Cost of copies,Public Access
HiredGuns,Q34,Are sample registration forms/spending reports available the Web?,Public Access
HiredGuns,Q35,Does the state agency provide an overall lobbying spending total by year?,Public Access
HiredGuns,Q36,Does the state agency provide an overall lobbying spending total by spending-report deadlines?,Public Access
HiredGuns,Q37,Does the state agency provide an overall lobbying spending total by industries lobbyists represent?,Public Access
HiredGuns,Q38,How often are lobby lists updated?,Public Access
HiredGuns,Q39,Does the state have statutory auditing authority?,Enforcement
HiredGuns,Q40,Does the state agency conduct mandatory reviews or audits?,Enforcement
HiredGuns,Q41,Is there a statutory penalty for late ﬁling of lobby registration form?,Enforcement
HiredGuns,Q42,Is there a statutory penalty for late ﬁling of a lobby spending report?,Enforcement
HiredGuns,Q43,When was a penalty for late ﬁling of a lobby spending report last levied?,Enforcement
HiredGuns,Q44,Is there a statutory penalty for incomplete ﬁling of a lobby registration form?,Enforcement
HiredGuns,Q45,Is there a statutory penalty for incomplete ﬁling of a lobby spending report?,Enforcement
HiredGuns,Q46,When was a penalty for incomplete ﬁling of a lobby spending report last levied?,Enforcement
HiredGuns,Q47,Does the state publish a list of delinquent ﬁlers either on the Web or in a printed document?,Enforcement
HiredGuns,Q48,"Is there a ""cooling off"" period required before legislators can register as lobbyists?",Revolving Door Provision
Newmark2005,def_legislative_lobbying,legislative lobbying,definitions
Newmark2005,def_administrative_agency_lobbying,administrative agency lobbying,definitions
Newmark2005,def_elected_officials_as_lobbyists,elected officials as lobbyists,definitions
Newmark2005,def_public_employees_as_lobbyists,public employees as lobbyists,definitions
Newmark2005,def_compensation_standard,compensation standard,definitions
Newmark2005,def_expenditure_standard,expenditure standard,definitions
Newmark2005,def_time_standard,time standard,definitions
Newmark2005,freq_reporting_more_than_annual,frequency of reporting (more frequently than once per year),frequency of reporting
Newmark2005,prohib_campaign_contrib_any_time,campaign contributions at any time,prohibited activities
Newmark2005,prohib_campaign_contrib_during_session,campaign contributions during the legislative session,prohibited activities
Newmark2005,prohib_expenditures_over_threshold,expenditures in excess of a certain dollar amount per year,prohibited activities
Newmark2005,prohib_solicitation_by_officials,solicitation by officials or employees for contributions or gifts,prohibited activities
Newmark2005,disc_legislative_admin_action_to_influence,legislative/administrative action seeking to influence,disclosure requirements
Newmark2005,disc_expenditures_benefiting_officials,expenditures benefiting public officials or employees,disclosure requirements
Newmark2005,disc_compensation_by_employer,compensation received broken down by employers,disclosure requirements
Newmark2005,disc_total_compensation,total compensation received,disclosure requirements
Newmark2005,disc_categories_of_expenditures,categories of expenditures,disclosure requirements
Newmark2005,disc_total_expenditures,total expenditures,disclosure requirements
Newmark2017,def.legislative_lobbying,Legislative lobbying necessitates registering as a lobbyist,Definitions of lobbyists and registration requirements
Newmark2017,def.administrative_agency_lobbying,Administrative agency lobbying necessitates registering as a lobbyist,Definitions of lobbyists and registration requirements
Newmark2017,def.elective_officials_as_lobbyists,Elective officials are defined as lobbyists if engaged in lobbying-related behaviors,Definitions of lobbyists and registration requirements
Newmark2017,def.public_employees_as_lobbyists,Public employees are defined as lobbyists if engaged in lobbying-related behaviors,Definitions of lobbyists and registration requirements
Newmark2017,def.compensation_standard,Compensation standard for lobbyist status (state defines persons as lobbyists if they receive a certain amount of money in exchange for lobbying),Definitions of lobbyists and registration requirements
Newmark2017,def.expenditure_standard,Expenditure standard for lobbyist status (state defines persons as lobbyists if they spend a certain amount of money in lobbying),Definitions of lobbyists and registration requirements
Newmark2017,def.time_standard,Time standard for lobbyist status (state defines persons as lobbyists if they devote a certain amount of time in lobbying),Definitions of lobbyists and registration requirements
Newmark2017,prohib.contributions_anytime,Lobbyists prohibited from making campaign contributions at any time,Prohibited activities
Newmark2017,prohib.contributions_during_session,Lobbyists prohibited from making campaign contributions during legislative sessions,Prohibited activities
Newmark2017,prohib.solicitation_by_officials,Solicitation by officials or employees for contributions or gifts is prohibited,Prohibited activities
Newmark2017,prohib.contingent_compensation,Contingent compensation is prohibited (lobbyists receiving pay only on achieving a lobbying-related objective),Prohibited activities
Newmark2017,prohib.revolving_door,Revolving door restrictions (lawmakers prohibited from becoming lobbyists without a waiting period),Prohibited activities
Newmark2017,disclosure.influence_legislation_or_admin,Disclosure required: seeking to influence legislation or administrative action,Registration and reporting/disclosure requirements
Newmark2017,disclosure.expenditures_benefiting_officials,Disclosure required: expenditures benefiting public officials or employees,Registration and reporting/disclosure requirements
Newmark2017,disclosure.compensation_by_employer,Disclosure required: compensation received broken down by employer,Registration and reporting/disclosure requirements
Newmark2017,disclosure.total_compensation,Disclosure required: total compensation received,Registration and reporting/disclosure requirements
Newmark2017,disclosure.categories_of_expenditures,Disclosure required: categories of expenditures,Registration and reporting/disclosure requirements
Newmark2017,disclosure.total_expenditures,Disclosure required: total expenditures toward lobbying,Registration and reporting/disclosure requirements
Newmark2017,disclosure.contributions_from_others,Disclosure required: contributions received from others for lobbying purposes,Registration and reporting/disclosure requirements
OpenSecrets,lobbyist_client_disclosure,"Who is lobbying and who is paying for it (lobbyist and client identification, with separate registrations preferred)",1. Who is lobbying and who is paying for it?
OpenSecrets,lobbyist_compensation_disclosure,How much are lobbyists getting paid (compensation paid to lobbyists by clients),2. How much are lobbyists getting paid?
OpenSecrets,timely_disclosure,Is there timely disclosure (frequency/timing of lobbying activity reports),3. Is there timely disclosure?
OpenSecrets,public_availability_total,"How easily can the public access disclosed information (composite of three sub-facets, total 5 points)",4. How easily can the public access disclosed information?
OpenSecrets,public_avail_search,User-friendly search feature on state lobbying disclosure website,4. How easily can the public access disclosed information? (sub-facet a)
OpenSecrets,public_avail_downloads,Availability of downloadable data from the state lobbying disclosure website,4. How easily can the public access disclosed information? (sub-facet b)
OpenSecrets,public_avail_lists,Easily accessible lists of registered lobbyists and clients,4. How easily can the public access disclosed information? (sub-facet c)
Opheim,def.legislative_lobbying,legislative lobbying as a criterion for definition,Statutory definition of a lobbyist
Opheim,def.administrative_lobbying,administrative lobbying as a criterion for definition,Statutory definition of a lobbyist
Opheim,def.elective_officials,elective officials designated as lobbyists,Statutory definition of a lobbyist
Opheim,def.public_employees,public employees designated as lobbyists,Statutory definition of a lobbyist
Opheim,def.compensation_standard,specific compensation standard to delineate lobbying activity,Statutory definition of a lobbyist
Opheim,def.expenditure_standard,specific expenditure standard to delineate lobbying activity,Statutory definition of a lobbyist
Opheim,def.time_standard,specific time standard to delineate lobbying activity,Statutory definition of a lobbyist
Opheim,disclosure.frequency,Frequency of reporting required of lobbyists,Frequency and quality of disclosure
Opheim,disclosure.total_spending,lobbyist's total spending,Frequency and quality of disclosure
Opheim,disclosure.spending_by_category,spending by category,Frequency and quality of disclosure
Opheim,disclosure.expenditures_benefitting_public_employees,expenditures benefitting public employees including gifts,Frequency and quality of disclosure
Opheim,disclosure.legislation_supported_or_opposed,legislation approved or opposed by the lobbyist,Frequency and quality of disclosure
Opheim,disclosure.sources_of_income,sources of income,Frequency and quality of disclosure
Opheim,disclosure.total_income,total income,Frequency and quality of disclosure
Opheim,disclosure.other_influence_peddling_or_conflict_of_interest,other activities that might constitute influence peddling or conflict of interest,Frequency and quality of disclosure
Opheim,enforce.thoroughness_of_reviews,thoroughness of reviews of lobby reports by oversight agency,Oversight and enforcement of regulations
Opheim,enforce.subpoena_witnesses,whether the agency may subpoena witnesses,Oversight and enforcement of regulations
Opheim,enforce.subpoena_records,subpoena records,Oversight and enforcement of regulations
Opheim,enforce.conduct_administrative_hearings,conduct administrative hearings,Oversight and enforcement of regulations
Opheim,enforce.impose_administrative_fines,impose administrative fines,Oversight and enforcement of regulations
Opheim,enforce.impose_administrative_penalties,impose administrative penalties,Oversight and enforcement of regulations
Opheim,enforce.file_independent_court_actions,file independent court actions,Oversight and enforcement of regulations
Sunlight,lobbyist_activity,Lobbyist Activity,Lobbyist Activity
Sunlight,expenditure_transparency,Expenditure Transparency,Expenditure Transparency
Sunlight,expenditure_reporting_thresholds,Expenditure Reporting Thresholds,Expenditure Reporting Thresholds
Sunlight,document_accessibility,Document Accessibility,Document Accessibility
Sunlight,lobbyist_compensation,Lobbyist Compensation,Lobbyist Compensation
pri_2010,accessibility.Q1,"At least some lobbying data available (in any format) either by request (email, telephone, fax, etc.) or anonymously (web-based).",Data availability
pri_2010,accessibility.Q2,The state has a dedicated website for lobbying information.,Website existence
pri_2010,accessibility.Q3,How easily a state's lobbying website can be found.,Website identification
pri_2010,accessibility.Q4,At least some current lobbying data/information available on the website for the most recent year.,Current data availability
pri_2010,accessibility.Q5,"Historical lobbying information is available, downloadable, or at least viewable on the state's website.",Historical data availability
pri_2010,accessibility.Q6,"How easily users can download lobbying data and information and analyze it, and specifically, whether users are able to download information in an electronic format that is immediately useable for analysis, such as Excel or SPSS.",Data format
pri_2010,accessibility.Q7a,Can users specify data searches on the website by Principal (city; authority hiring; employer; corporation; etc.).,Sorting data
pri_2010,accessibility.Q7b,Can users specify data searches on the website by Principal's location (specific address; city).,Sorting data
pri_2010,accessibility.Q7c,Can users specify data searches on the website by Lobbyist name.,Sorting data
pri_2010,accessibility.Q7d,Can users specify data searches on the website by Lobbyist location (specific address; city).,Sorting data
pri_2010,accessibility.Q7e,Can users specify data searches on the website by Specific date.,Sorting data
pri_2010,accessibility.Q7f,Can users specify data searches on the website by Specific time period (normally quarter but it depends on how often the law requires data to be disclosed).,Sorting data
pri_2010,accessibility.Q7g,Can users specify data searches on the website by Total expenditures.,Sorting data
pri_2010,accessibility.Q7h,Can users specify data searches on the website by Compensation spending (portion of total expenditures for which the lobbyist is paid back).,Sorting data
pri_2010,accessibility.Q7i,Can users specify data searches on the website by Miscellaneous expenses (non-compensation).,Sorting data
pri_2010,accessibility.Q7j,Can users specify data searches on the website by Sources of funding (emphasis on public/taxpayer-funded).,Sorting data
pri_2010,accessibility.Q7k,Can users specify data searches on the website by Subject of lobbying (or item of legislation).,Sorting data
pri_2010,accessibility.Q7l,Can users specify data searches on the website by Designated entities assigned to lobbyist (group/congressman the lobbyist is working for).,Sorting data
pri_2010,accessibility.Q7m,Can users specify data searches on the website by Legal status of the principal (government; non-profit; for-profit; etc.).,Sorting data
pri_2010,accessibility.Q7n,Can users specify data searches on the website by Sector (transport; energy; banking; education; social services; etc.).,Sorting data
pri_2010,accessibility.Q7o,Can users specify data searches on the website by Sub-sector (K–12; secondary; vocational; etc.).,Sorting data
pri_2010,accessibility.Q8,Users can simultaneously sort lobbying data by multiple criteria.,Simultaneous sorting
pri_2010,disclosure.A1,Lobbyists.,A. Who is required to register
pri_2010,disclosure.A2,Volunteer lobbyists.,A. Who is required to register
pri_2010,disclosure.A3,Principals who employ a lobbyist.,A. Who is required to register
pri_2010,disclosure.A4,Lobbying firms.,A. Who is required to register
pri_2010,disclosure.A5,Governor's office.,A. Who is required to register
pri_2010,disclosure.A6,Executive branch agencies.,A. Who is required to register
pri_2010,disclosure.A7,Legislative branch.,A. Who is required to register
pri_2010,disclosure.A8,Independent agencies.,A. Who is required to register
pri_2010,disclosure.A9,Local governments.,A. Who is required to register
pri_2010,disclosure.A10,Government agencies who lobby other agencies.,A. Who is required to register
pri_2010,disclosure.A11,"Public entities, other than government agencies.",A. Who is required to register
pri_2010,disclosure.B1,Is there an exemption for government agencies and/or public officials acting within their official capacity?,B. Government exemptions
pri_2010,disclosure.B2,Are government agencies relieved and/or exempted (partially) from the regulations imposed on non-government organizations and individuals?,B. Government exemptions
pri_2010,disclosure.B3,Are government agencies subject to the same disclosure requirements as lobbyists?,B. Government exemptions
pri_2010,disclosure.B4,Are government agencies subject to the same disclosure requirements as principals?,B. Government exemptions
pri_2010,disclosure.C0,"Does the law include a definition of ""public entity""?",C. Definition of public entity
pri_2010,disclosure.C1,Definition relies on Ownership.,C. Definition of public entity
pri_2010,disclosure.C2,Definition relies on Structure or composition of revenue.,C. Definition of public entity
pri_2010,disclosure.C3,Definition relies on Public charter or special government protection.,C. Definition of public entity
pri_2010,disclosure.D0,Does the law include a materiality test (ability to exempt) for coverage in disclosure regulations?,D. Materiality test
pri_2010,disclosure.D1_present,Financial threshold exists: if expenses are less than some dollar threshold the entity is exempted from filing disclosure.,D. Materiality test
pri_2010,disclosure.D1_value,Dollar threshold value (USD) for financial-threshold exemption.,D. Materiality test
pri_2010,disclosure.D2_present,Time threshold exists: if amount of time devoted to lobbying is less than a threshold percentage of an individual's compensated time the individual or entity is exempted from filing disclosure.,D. Materiality test
pri_2010,disclosure.D2_value,Percentage threshold value for time-threshold exemption.,D. Materiality test
pri_2010,disclosure.E1a,Are principals required to disclose?,E1. Principal Reports
pri_2010,disclosure.E1b,Are principals required to disclose their address and phone number?,E1. Principal Reports
pri_2010,disclosure.E1c,Are principals required to disclose the names of all the lobbyists representing them?,E1. Principal Reports
pri_2010,disclosure.E1d,Are principals required to disclose the address and phone number of contracted lobbyists?,E1. Principal Reports
pri_2010,disclosure.E1e,Are principals required to disclose the nature of the business (public or private)?,E1. Principal Reports
pri_2010,disclosure.E1f_i,Required component of disclosure report: Direct lobbying costs (compensation).,E1. Principal Reports
pri_2010,disclosure.E1f_ii,Required component of disclosure report: Indirect lobbying costs (non-compensation).,E1. Principal Reports
pri_2010,disclosure.E1f_iii,"Required component of disclosure report: Other costs such as gifts, entertainment, transportation, and lodging.",E1. Principal Reports
pri_2010,disclosure.E1f_iv,Is the information disclosed in an itemized format (as opposed to an aggregated or lump-sum amount)?,E1. Principal Reports
pri_2010,disclosure.E1g_i,Are principals required to disclose information on the issue lobbied by the general issues lobbied?,E1. Principal Reports
pri_2010,disclosure.E1g_ii,Are principals required to disclose information on the issue lobbied by the specific bill number or legislation ID?,E1. Principal Reports
pri_2010,disclosure.E1h_i,Reporting frequency option: Monthly.,E1. Principal Reports
pri_2010,disclosure.E1h_ii,Reporting frequency option: Quarterly.,E1. Principal Reports
pri_2010,disclosure.E1h_iii,Reporting frequency option: Tri-annually (linked with legislative calendar).,E1. Principal Reports
pri_2010,disclosure.E1h_iv,Reporting frequency option: Semi-annually.,E1. Principal Reports
pri_2010,disclosure.E1h_v,Reporting frequency option: Annually.,E1. Principal Reports
pri_2010,disclosure.E1h_vi,Reporting frequency option: Other (free-text).,E1. Principal Reports
pri_2010,disclosure.E1i,Are principals required to disclose contacts?,E1. Principal Reports
pri_2010,disclosure.E1j,Are principals required to disclose major financial contributors?,E1. Principal Reports
pri_2010,disclosure.E2a,Are lobbyists required to disclose?,E2. Lobbyist Disclosure
pri_2010,disclosure.E2b,Are lobbyists required to disclose their address and phone number?,E2. Lobbyist Disclosure
pri_2010,disclosure.E2c,Are lobbyists required to disclose the names of all the principals represented?,E2. Lobbyist Disclosure
pri_2010,disclosure.E2d,Are lobbyists required to disclose the address and phone number of the principals represented?,E2. Lobbyist Disclosure
pri_2010,disclosure.E2e,Are lobbyists required to disclose the nature of the principal's business (public or private)?,E2. Lobbyist Disclosure
pri_2010,disclosure.E2f_i,Required component of disclosure report: Direct lobbying costs (compensation).,E2. Lobbyist Disclosure
pri_2010,disclosure.E2f_ii,Required component of disclosure report: Indirect lobbying costs (non-compensation).,E2. Lobbyist Disclosure
pri_2010,disclosure.E2f_iii,"Required component of disclosure report: Other costs such as gifts, entertainment, transportation, and lodging.",E2. Lobbyist Disclosure
pri_2010,disclosure.E2f_iv,Is the information disclosed in an itemized format (as opposed to an aggregated or lump-sum amount)?,E2. Lobbyist Disclosure
pri_2010,disclosure.E2g_i,Are lobbyists required to disclose information on the issue lobbied by the general issues lobbied?,E2. Lobbyist Disclosure
pri_2010,disclosure.E2g_ii,Are lobbyists required to disclose information on the issue lobbied by the specific bill number or legislation ID?,E2. Lobbyist Disclosure
pri_2010,disclosure.E2h_i,Reporting frequency option: Monthly.,E2. Lobbyist Disclosure
pri_2010,disclosure.E2h_ii,Reporting frequency option: Quarterly.,E2. Lobbyist Disclosure
pri_2010,disclosure.E2h_iii,Reporting frequency option: Tri-annually (linked with legislative calendar).,E2. Lobbyist Disclosure
pri_2010,disclosure.E2h_iv,Reporting frequency option: Semi-annually.,E2. Lobbyist Disclosure
pri_2010,disclosure.E2h_v,Reporting frequency option: Annually.,E2. Lobbyist Disclosure
pri_2010,disclosure.E2h_vi,Reporting frequency option: Other (free-text).,E2. Lobbyist Disclosure
pri_2010,disclosure.E2i,Are lobbyists required to disclose contacts?,E2. Lobbyist Disclosure
