source_paper,source_id,source_text,group_id,group_label
Opheim,def.time_standard,specific time standard to delineate lobbying activity,g_007,Time threshold defines lobbyist status (amount of time spent lobbying triggers status)
FOCAL,scope.1,"The following types of lobbyists are included in the register: professional lobbyists/consultants, in-house company lobbyists, in-house organisation lobbyists, professional consultancies, law firms, think tanks, research institutions, public entities, government agencies/employees",g_008,"Scope of register: types/categories of lobbyists included (consultants, in-house, firms, public entities, etc.)"
FOCAL,scope.2,There is no (or low) financial or time threshold to qualify/exempt lobbyists from registration,g_009,Scope of register: low or no financial/time threshold for registration
FOCAL,scope.3,"The following are included as targets of lobbying: legislative branches, executive branch officials, Ministers, Deputy Ministers, members of parliament, Director-Generals and senior officials, staff, administrative branch/bureaucracy",g_010,"Scope of register: types of lobbying targets covered (legislators, executive officials, staff, bureaucracy)"
FOCAL,scope.4,"A wide breadth of activities are included, eg, oral, written, electronic, virtual communications; organising meetings for others; events; phone calls and emails",g_011,"Scope of register: breadth of lobbying activities covered (oral, written, electronic, meetings, events)"
HiredGuns,Q3,Is a lobbyist required to ﬁle a registration form?,g_012,Lobbyist registration is required (filing of a registration form)
HiredGuns,Q4,How many days can lobbying take place before registration is required?,g_013,Days/grace period before registration becomes required after lobbying begins
HiredGuns,Q5,Is subject matter or bill number to be addressed by a lobbyist required on registration forms?,g_014,Subject matter or bill number required on registration form
HiredGuns,Q6,How often is registration by a lobbyist required?,g_015,Frequency at which lobbyist registration must be renewed/refiled
HiredGuns,Q7,Within how many days must a lobbyist notify the oversight agency of changes in registration?,g_016,Time window in which lobbyists must report changes to registration
HiredGuns,Q8,Is a lobbyist required to submit a photograph with registration?,g_017,Photograph required as part of lobbyist registration
HiredGuns,Q9,Is a lobbyist required to identify by name each employer on the registration form?,g_018,Lobbyist must identify each employer/principal on the registration form
HiredGuns,Q10,"Is a lobbyist required to include on the registration form any additional information about the type of lobbying work he or she does (i.e., compensated or non-compensated/contract or salaried)?",g_019,Registration form requires additional info on type of lobbying work (compensated/contract/salaried)
OpenSecrets,lobbyist_client_disclosure,"Who is lobbying and who is paying for it (lobbyist and client identification, with separate registrations preferred)",g_020,High-level disclosure of who is lobbying and who is paying for it (lobbyist + client identification)
pri_2010,disclosure.A1,Lobbyists.,g_021,Lobbyists are required to register/disclose
pri_2010,disclosure.E2a,Are lobbyists required to disclose?,g_021,Lobbyists are required to register/disclose
pri_2010,disclosure.A2,Volunteer lobbyists.,g_022,Volunteer (uncompensated) lobbyists are required to register
HiredGuns,Q26,Is an employer or principal of a lobbyist required to ﬁle a spending report?,g_023,Principals/employers of lobbyists are required to register/disclose
pri_2010,disclosure.A3,Principals who employ a lobbyist.,g_023,Principals/employers of lobbyists are required to register/disclose
pri_2010,disclosure.E1a,Are principals required to disclose?,g_023,Principals/employers of lobbyists are required to register/disclose
pri_2010,disclosure.A4,Lobbying firms.,g_024,Lobbying firms (as entities) are required to register
pri_2010,disclosure.A5,Governor's office.,g_025,Governor's office covered as a registrable entity
pri_2010,disclosure.A6,Executive branch agencies.,g_026,Executive-branch agencies covered as registrable entities
pri_2010,disclosure.A7,Legislative branch.,g_027,Legislative branch covered as a registrable entity
pri_2010,disclosure.A8,Independent agencies.,g_028,Independent agencies covered as registrable entities
pri_2010,disclosure.A9,Local governments.,g_029,Local governments covered as registrable entities
pri_2010,disclosure.A10,Government agencies who lobby other agencies.,g_030,Government agencies that lobby other agencies are covered
pri_2010,disclosure.A11,"Public entities, other than government agencies.",g_031,Public entities other than government agencies are covered
pri_2010,disclosure.B1,Is there an exemption for government agencies and/or public officials acting within their official capacity?,g_032,Exemption for government agencies/officials acting in official capacity
pri_2010,disclosure.B2,Are government agencies relieved and/or exempted (partially) from the regulations imposed on non-government organizations and individuals?,g_033,Government agencies partially relieved/exempted from non-government regulations
pri_2010,disclosure.B3,Are government agencies subject to the same disclosure requirements as lobbyists?,g_034,Government agencies subject to same disclosure requirements as lobbyists
pri_2010,disclosure.B4,Are government agencies subject to the same disclosure requirements as principals?,g_035,Government agencies subject to same disclosure requirements as principals
pri_2010,disclosure.C0,"Does the law include a definition of ""public entity""?",g_036,Statute includes a definition of 'public entity'
pri_2010,disclosure.C1,Definition relies on Ownership.,g_037,'Public entity' definition relies on ownership
pri_2010,disclosure.C2,Definition relies on Structure or composition of revenue.,g_038,'Public entity' definition relies on revenue structure/composition
pri_2010,disclosure.C3,Definition relies on Public charter or special government protection.,g_039,'Public entity' definition relies on public charter or special government protection
pri_2010,disclosure.D0,Does the law include a materiality test (ability to exempt) for coverage in disclosure regulations?,g_040,Statute includes a materiality test allowing exemption from disclosure
pri_2010,disclosure.D1_present,Financial threshold exists: if expenses are less than some dollar threshold the entity is exempted from filing disclosure.,g_041,"Financial-threshold exemption: below dollar amount, entity exempt from disclosure"
pri_2010,disclosure.D1_value,Dollar threshold value (USD) for financial-threshold exemption.,g_042,Dollar value of financial-threshold exemption
pri_2010,disclosure.D2_present,Time threshold exists: if amount of time devoted to lobbying is less than a threshold percentage of an individual's compensated time the individual or entity is exempted from filing disclosure.,g_043,"Time-percentage threshold exemption: below percentage of time, entity exempt"
pri_2010,disclosure.D2_value,Percentage threshold value for time-threshold exemption.,g_044,Percentage value of time-threshold exemption
HiredGuns,Q11,Is a lobbyist required to ﬁle a spending report?,g_045,Lobbyist must file a spending/activity report
Sunlight,lobbyist_activity,Lobbyist Activity,g_045,Lobbyist must file a spending/activity report
HiredGuns,Q12,How often during each two-year cycle is a lobbyist required to report spending?,g_046,Frequency of lobbyist spending reports required
Newmark2005,freq_reporting_more_than_annual,frequency of reporting (more frequently than once per year),g_046,Frequency of lobbyist spending reports required
Opheim,disclosure.frequency,Frequency of reporting required of lobbyists,g_046,Frequency of lobbyist spending reports required
HiredGuns,Q25,Is a lobbyist who has done no spending during a ﬁling period required to make a report of no activity?,g_047,Lobbyist with no spending in a period must still file a no-activity/zero report
HiredGuns,Q13,Is compensation/salary required to be reported by a lobbyist on spending reports?,g_048,Lobbyist compensation/salary required to be reported
OpenSecrets,lobbyist_compensation_disclosure,How much are lobbyists getting paid (compensation paid to lobbyists by clients),g_048,Lobbyist compensation/salary required to be reported
Sunlight,lobbyist_compensation,Lobbyist Compensation,g_048,Lobbyist compensation/salary required to be reported
HiredGuns,Q27,Is compensation/salary required to be reported on employer/principal spending reports?,g_049,Compensation/salary on the employer/principal spending report
Newmark2005,disc_total_compensation,total compensation received,g_050,Disclosure of total compensation received by lobbyist
Newmark2017,disclosure.total_compensation,Disclosure required: total compensation received,g_050,Disclosure of total compensation received by lobbyist
Opheim,disclosure.total_income,total income,g_050,Disclosure of total compensation received by lobbyist
Newmark2005,disc_compensation_by_employer,compensation received broken down by employers,g_051,Compensation broken down by employer/client
Newmark2017,disclosure.compensation_by_employer,Disclosure required: compensation received broken down by employer,g_051,Compensation broken down by employer/client
Opheim,disclosure.sources_of_income,sources of income,g_051,Compensation broken down by employer/client
FOCAL,financials.2,Lobbying income per client,g_051,Compensation broken down by employer/client
Newmark2005,disc_total_expenditures,total expenditures,g_052,Disclosure of total lobbying expenditures
Newmark2017,disclosure.total_expenditures,Disclosure required: total expenditures toward lobbying,g_052,Disclosure of total lobbying expenditures
Opheim,disclosure.total_spending,lobbyist's total spending,g_052,Disclosure of total lobbying expenditures
FOCAL,financials.6,Total lobbying expenditure (both in-house and consulting),g_052,Disclosure of total lobbying expenditures
HiredGuns,Q14,"Are summaries (totals) of spending classiﬁed by category types (i.e., gifts, entertainment, postage, etc.)?",g_053,Categorized totals of lobbying expenditures (by category type)
Newmark2005,disc_categories_of_expenditures,categories of expenditures,g_053,Categorized totals of lobbying expenditures (by category type)
Newmark2017,disclosure.categories_of_expenditures,Disclosure required: categories of expenditures,g_053,Categorized totals of lobbying expenditures (by category type)
Opheim,disclosure.spending_by_category,spending by category,g_053,Categorized totals of lobbying expenditures (by category type)
HiredGuns,Q15,What spending must be itemized?,g_054,Itemized lobbying expenditures required (specific itemization rules)
pri_2010,disclosure.E1f_iv,Is the information disclosed in an itemized format (as opposed to an aggregated or lump-sum amount)?,g_055,Itemized vs aggregate format requirement for disclosure (line-item rather than lump-sum)
pri_2010,disclosure.E2f_iv,Is the information disclosed in an itemized format (as opposed to an aggregated or lump-sum amount)?,g_055,Itemized vs aggregate format requirement for disclosure (line-item rather than lump-sum)
HiredGuns,Q16,Is the lobbyist employer/principal on whose behalf the itemized expenditure was made required to be identiﬁed?,g_056,Employer/principal on whose behalf an itemized expenditure was made must be identified
HiredGuns,Q17,Is the recipient of the itemized expenditure required to be identiﬁed?,g_057,Recipient of itemized expenditure must be identified
HiredGuns,Q18,Is the date of the itemized expenditure required to be reported?,g_058,Date of itemized expenditure must be reported
HiredGuns,Q19,Is a description of the itemized expenditure required to be reported?,g_059,Description of itemized expenditure must be reported
HiredGuns,Q20,Is subject matter or bill number to be addressed by a lobbyist required on spending reports?,g_060,Subject matter or bill number on lobbyist spending reports
HiredGuns,Q21,Is spending on household members of public ofﬁcials by a lobbyist required to be reported?,g_061,Spending on household members of public officials must be reported
HiredGuns,Q22,"Is a lobbyist required to disclose direct business associations with public ofﬁcials, candidates or members of their households?",g_062,Disclosure of direct business associations between lobbyists and officials/candidates/their households
FOCAL,relationships.4,"Direct business associations with public officials, candidates or members of their households",g_062,Disclosure of direct business associations between lobbyists and officials/candidates/their households
HiredGuns,Q23,What is the statutory provision for a lobbyist giving and reporting gifts?,g_063,Statutory provision governing lobbyist gifts to officials and reporting thereof
pri_2010,disclosure.E1f_i,Required component of disclosure report: Direct lobbying costs (compensation).,g_064,Disclosure component: direct lobbying costs (compensation)
pri_2010,disclosure.E2f_i,Required component of disclosure report: Direct lobbying costs (compensation).,g_064,Disclosure component: direct lobbying costs (compensation)
pri_2010,disclosure.E1f_ii,Required component of disclosure report: Indirect lobbying costs (non-compensation).,g_065,Disclosure component: indirect lobbying costs (non-compensation)
pri_2010,disclosure.E2f_ii,Required component of disclosure report: Indirect lobbying costs (non-compensation).,g_065,Disclosure component: indirect lobbying costs (non-compensation)
Newmark2005,disc_expenditures_benefiting_officials,expenditures benefiting public officials or employees,g_066,"Disclosure of expenditures benefiting public officials/employees (gifts, entertainment, transport, lodging)"
Newmark2017,disclosure.expenditures_benefiting_officials,Disclosure required: expenditures benefiting public officials or employees,g_066,"Disclosure of expenditures benefiting public officials/employees (gifts, entertainment, transport, lodging)"
Opheim,disclosure.expenditures_benefitting_public_employees,expenditures benefitting public employees including gifts,g_066,"Disclosure of expenditures benefiting public officials/employees (gifts, entertainment, transport, lodging)"
FOCAL,financials.10,"Expenditures benefitting public officials or employees including financial/non-financial gifts and support, employer/principal on whose behalf expenses were made",g_066,"Disclosure of expenditures benefiting public officials/employees (gifts, entertainment, transport, lodging)"
pri_2010,disclosure.E1f_iii,"Required component of disclosure report: Other costs such as gifts, entertainment, transportation, and lodging.",g_066,"Disclosure of expenditures benefiting public officials/employees (gifts, entertainment, transport, lodging)"
pri_2010,disclosure.E2f_iii,"Required component of disclosure report: Other costs such as gifts, entertainment, transportation, and lodging.",g_066,"Disclosure of expenditures benefiting public officials/employees (gifts, entertainment, transport, lodging)"
Newmark2005,disc_legislative_admin_action_to_influence,legislative/administrative action seeking to influence,g_067,Disclosure of legislative/administrative action sought to influence (general issues)
Newmark2017,disclosure.influence_legislation_or_admin,Disclosure required: seeking to influence legislation or administrative action,g_067,Disclosure of legislative/administrative action sought to influence (general issues)
Opheim,disclosure.legislation_supported_or_opposed,legislation approved or opposed by the lobbyist,g_067,Disclosure of legislative/administrative action sought to influence (general issues)
pri_2010,disclosure.E1g_i,Are principals required to disclose information on the issue lobbied by the general issues lobbied?,g_067,Disclosure of legislative/administrative action sought to influence (general issues)
pri_2010,disclosure.E2g_i,Are lobbyists required to disclose information on the issue lobbied by the general issues lobbied?,g_067,Disclosure of legislative/administrative action sought to influence (general issues)
FOCAL,contact_log.10,"Outcomes sought (eg, legislation/policies supported/opposed)",g_067,Disclosure of legislative/administrative action sought to influence (general issues)
pri_2010,disclosure.E1g_ii,Are principals required to disclose information on the issue lobbied by the specific bill number or legislation ID?,g_068,Disclosure of specific bill number / legislation ID lobbied
pri_2010,disclosure.E2g_ii,Are lobbyists required to disclose information on the issue lobbied by the specific bill number or legislation ID?,g_068,Disclosure of specific bill number / legislation ID lobbied
FOCAL,contact_log.11,"Targeted areas of public policy or legislation, including a list of official legislative references/bill numbers/measures etc",g_068,Disclosure of specific bill number / legislation ID lobbied
Newmark2017,disclosure.contributions_from_others,Disclosure required: contributions received from others for lobbying purposes,g_069,Disclosure of contributions/funds received from others for lobbying purposes
FOCAL,financials.3,"Income sources (eg, including government agencies, grant-making foundations, companies) and amount received",g_069,Disclosure of contributions/funds received from others for lobbying purposes
pri_2010,disclosure.E1b,Are principals required to disclose their address and phone number?,g_070,Principal must disclose its own address and phone number
pri_2010,disclosure.E1c,Are principals required to disclose the names of all the lobbyists representing them?,g_071,Principal must disclose names of all lobbyists representing it
pri_2010,disclosure.E1d,Are principals required to disclose the address and phone number of contracted lobbyists?,g_072,Principal must disclose address/phone of contracted lobbyists
pri_2010,disclosure.E1e,Are principals required to disclose the nature of the business (public or private)?,g_073,Principal must disclose nature of business (public/private)
pri_2010,disclosure.E1j,Are principals required to disclose major financial contributors?,g_074,Principal must disclose major financial contributors
pri_2010,disclosure.E2b,Are lobbyists required to disclose their address and phone number?,g_075,Lobbyist must disclose own address and phone number
FOCAL,relationships.1,Client list (for all consultant lobbyists and firms),g_076,Lobbyist must disclose names of all principals/clients represented
pri_2010,disclosure.E2c,Are lobbyists required to disclose the names of all the principals represented?,g_076,Lobbyist must disclose names of all principals/clients represented
pri_2010,disclosure.E2d,Are lobbyists required to disclose the address and phone number of the principals represented?,g_077,Lobbyist must disclose address/phone of principals represented
pri_2010,disclosure.E2e,Are lobbyists required to disclose the nature of the principal's business (public or private)?,g_078,Lobbyist must disclose nature of principal's business (public/private)
pri_2010,disclosure.E1i,Are principals required to disclose contacts?,g_079,Disclosure of contacts/meetings made by principal or lobbyist (lobbyist activity log)
pri_2010,disclosure.E2i,Are lobbyists required to disclose contacts?,g_079,Disclosure of contacts/meetings made by principal or lobbyist (lobbyist activity log)
pri_2010,disclosure.E1h_i,Reporting frequency option: Monthly.,g_080,Reporting cadence offered: monthly
pri_2010,disclosure.E2h_i,Reporting frequency option: Monthly.,g_080,Reporting cadence offered: monthly
pri_2010,disclosure.E1h_ii,Reporting frequency option: Quarterly.,g_081,Reporting cadence offered: quarterly
pri_2010,disclosure.E2h_ii,Reporting frequency option: Quarterly.,g_081,Reporting cadence offered: quarterly
pri_2010,disclosure.E1h_iii,Reporting frequency option: Tri-annually (linked with legislative calendar).,g_082,Reporting cadence offered: tri-annually (linked with legislative calendar)
pri_2010,disclosure.E2h_iii,Reporting frequency option: Tri-annually (linked with legislative calendar).,g_082,Reporting cadence offered: tri-annually (linked with legislative calendar)
pri_2010,disclosure.E1h_iv,Reporting frequency option: Semi-annually.,g_083,Reporting cadence offered: semi-annually
pri_2010,disclosure.E2h_iv,Reporting frequency option: Semi-annually.,g_083,Reporting cadence offered: semi-annually
pri_2010,disclosure.E1h_v,Reporting frequency option: Annually.,g_084,Reporting cadence offered: annually
pri_2010,disclosure.E2h_v,Reporting frequency option: Annually.,g_084,Reporting cadence offered: annually
pri_2010,disclosure.E1h_vi,Reporting frequency option: Other (free-text).,g_085,Reporting cadence offered: other (free-text)
pri_2010,disclosure.E2h_vi,Reporting frequency option: Other (free-text).,g_085,Reporting cadence offered: other (free-text)
OpenSecrets,timely_disclosure,Is there timely disclosure (frequency/timing of lobbying activity reports),g_086,Timeliness of disclosure (frequency/timing of lobbying activity reports)
FOCAL,timeliness.1,"Changes (eg, registering/deregistering lobbyists, new clients) are updated close to real time (eg, daily)",g_087,"Real-time updating of lobbyist registration changes (registrations, new clients)"
FOCAL,timeliness.2,"Lobbying activities are disclosed close to real time (eg, daily)",g_088,Real-time disclosure of lobbying activities (daily or near-daily)
FOCAL,timeliness.3,Ministerial diaries are disclosed monthly (or more frequently),g_089,Ministerial diaries disclosed monthly or more frequently
HiredGuns,Q28,Does the oversight agency provide lobbyists/employers with online registration?,g_090,Online lobbyist/employer registration provided by oversight agency
HiredGuns,Q29,Does the oversight agency provide lobbyists/employers with online spending reporting?,g_091,Online spending-report filing provided by oversight agency
HiredGuns,Q30,Does the oversight agency provide training about how to ﬁle registrations/spending reports electronically?,g_092,Oversight agency provides training on electronic filing of registrations/spending reports
OpenSecrets,public_availability_total,"How easily can the public access disclosed information (composite of three sub-facets, total 5 points)",g_093,Public access to overall composite of disclosed information
Sunlight,document_accessibility,Document Accessibility,g_093,Public access to overall composite of disclosed information
FOCAL,openness.1,Lobbyist register is online,g_094,Lobbyist register/registration list available online
FOCAL,openness.2,"Diaries available online (eg, lobbyists, ministers, ministerial staff)",g_095,Lobbyist/minister/staff diaries available online
FOCAL,openness.3,"Available without registration, free to access, open license (eg, no limits to reuse), non-proprietary format (eg, CSV, not Excel), machine readable",g_096,Open license / non-proprietary / machine-readable / no-registration access to data
OpenSecrets,public_avail_downloads,Availability of downloadable data from the state lobbying disclosure website,g_097,"Lobbying data downloadable in bulk (files, database)"
FOCAL,openness.4,"Downloadable (eg, as files, database)",g_097,"Lobbying data downloadable in bulk (files, database)"
pri_2010,accessibility.Q6,"How easily users can download lobbying data and information and analyze it, and specifically, whether users are able to download information in an electronic format that is immediately useable for analysis, such as Excel or SPSS.",g_097,"Lobbying data downloadable in bulk (files, database)"
OpenSecrets,public_avail_search,User-friendly search feature on state lobbying disclosure website,g_098,Searchable database with simultaneous multi-criteria sorting
FOCAL,openness.5,"Searchable, simultaneous sorting with multiple criteria",g_098,Searchable database with simultaneous multi-criteria sorting
pri_2010,accessibility.Q8,Users can simultaneously sort lobbying data by multiple criteria.,g_098,Searchable database with simultaneous multi-criteria sorting
FOCAL,openness.6,"Unique identifiers (eg, for lobbyists, individuals, organisations)",g_099,Unique identifiers assigned to lobbyists/individuals/organisations
FOCAL,openness.7,"Linked or interconnected data (to other datasets, eg, campaign financing)",g_100,"Lobbying data linked or interconnected with other datasets (e.g., campaign finance)"
FOCAL,openness.8,Historical data in lobbyist register is archived and published; downloadable,g_101,"Historical lobbying data archived, downloadable, and viewable"
pri_2010,accessibility.Q5,"Historical lobbying information is available, downloadable, or at least viewable on the state's website.",g_101,"Historical lobbying data archived, downloadable, and viewable"
FOCAL,openness.9,Changes or updates documented with a flagging system,g_102,Changes/updates to lobbying records flagged or version-tracked
OpenSecrets,public_avail_lists,Easily accessible lists of registered lobbyists and clients,g_103,Easily accessible lists of registered lobbyists and clients
HiredGuns,Q31,Location/format of registrations or active lobbyist directory,g_104,Format/location where lobbyist registrations or active-lobbyist directory are made public
HiredGuns,Q32,Location/format of spending reports,g_105,Format/location where lobbyist spending reports are made public
HiredGuns,Q33,Cost of copies,g_106,Cost of obtaining copies of lobbying records
HiredGuns,Q34,Are sample registration forms/spending reports available the Web?,g_107,Sample registration forms / spending report templates available on the web
HiredGuns,Q35,Does the state agency provide an overall lobbying spending total by year?,g_108,Oversight agency publishes overall lobbying spending total by year
HiredGuns,Q36,Does the state agency provide an overall lobbying spending total by spending-report deadlines?,g_109,Oversight agency publishes lobbying spending total by reporting deadline
HiredGuns,Q37,Does the state agency provide an overall lobbying spending total by industries lobbyists represent?,g_110,Oversight agency publishes lobbying spending total by industry represented
HiredGuns,Q38,How often are lobby lists updated?,g_111,Frequency at which lobby lists/website are updated
pri_2010,accessibility.Q1,"At least some lobbying data available (in any format) either by request (email, telephone, fax, etc.) or anonymously (web-based).",g_112,"At least some lobbying data is available (any format, by request or anonymously)"
pri_2010,accessibility.Q2,The state has a dedicated website for lobbying information.,g_113,State has a dedicated website for lobbying information
pri_2010,accessibility.Q3,How easily a state's lobbying website can be found.,g_114,Ease of finding the state lobbying website (discoverability)
pri_2010,accessibility.Q4,At least some current lobbying data/information available on the website for the most recent year.,g_115,At least some current-year lobbying data available on the website
pri_2010,accessibility.Q7a,Can users specify data searches on the website by Principal (city; authority hiring; employer; corporation; etc.).,g_116,Search filter: principal (city/authority/employer/corporation)
pri_2010,accessibility.Q7b,Can users specify data searches on the website by Principal's location (specific address; city).,g_117,Search filter: principal location (address/city)
pri_2010,accessibility.Q7c,Can users specify data searches on the website by Lobbyist name.,g_118,Search filter: lobbyist name
pri_2010,accessibility.Q7d,Can users specify data searches on the website by Lobbyist location (specific address; city).,g_119,Search filter: lobbyist location (address/city)
pri_2010,accessibility.Q7e,Can users specify data searches on the website by Specific date.,g_120,Search filter: specific date
pri_2010,accessibility.Q7f,Can users specify data searches on the website by Specific time period (normally quarter but it depends on how often the law requires data to be disclosed).,g_121,Search filter: specific time period (quarter/disclosure period)
pri_2010,accessibility.Q7g,Can users specify data searches on the website by Total expenditures.,g_122,Search filter: total expenditures
pri_2010,accessibility.Q7h,Can users specify data searches on the website by Compensation spending (portion of total expenditures for which the lobbyist is paid back).,g_123,Search filter: compensation spending
pri_2010,accessibility.Q7i,Can users specify data searches on the website by Miscellaneous expenses (non-compensation).,g_124,Search filter: miscellaneous (non-compensation) expenses
pri_2010,accessibility.Q7j,Can users specify data searches on the website by Sources of funding (emphasis on public/taxpayer-funded).,g_125,Search filter: sources of funding (especially public/taxpayer-funded)
pri_2010,accessibility.Q7k,Can users specify data searches on the website by Subject of lobbying (or item of legislation).,g_126,Search filter: subject of lobbying or item of legislation
pri_2010,accessibility.Q7l,Can users specify data searches on the website by Designated entities assigned to lobbyist (group/congressman the lobbyist is working for).,g_127,Search filter: designated entities the lobbyist is working for
pri_2010,accessibility.Q7m,Can users specify data searches on the website by Legal status of the principal (government; non-profit; for-profit; etc.).,g_128,Search filter: legal status of principal (government/non-profit/for-profit)
pri_2010,accessibility.Q7n,Can users specify data searches on the website by Sector (transport; energy; banking; education; social services; etc.).,g_129,"Search filter: sector of lobbying (transport, energy, banking, education, etc.)"
pri_2010,accessibility.Q7o,Can users specify data searches on the website by Sub-sector (K–12; secondary; vocational; etc.).,g_130,Search filter: sub-sector of lobbying
FOCAL,descriptors.1,"Full names of lobbyists/organisations, (not abbreviations or ambiguous names)",g_131,Full names of lobbyists/organisations (no abbreviations)
FOCAL,descriptors.2,"Contact details provided (eg, Address, telephone and/or website)",g_132,"Contact details (address, phone, website) of lobbyists/organisations"
FOCAL,descriptors.3,"Legal form (eg, public, private, not-for-profit, NGO, government)",g_133,"Legal form of lobbyist/organisation (public, private, NGO, govt)"
FOCAL,descriptors.4,Company registration number,g_134,Company registration number for lobbying organisations
FOCAL,descriptors.5,"Sector (eg, transport, energy), sub sector",g_135,Sector and sub-sector of lobbyist organisation
FOCAL,descriptors.6,"Type of lobbyist contract (eg, salaried staff, contracted)",g_136,Type of lobbyist contract (salaried staff vs contracted)
HiredGuns,Q48,"Is there a ""cooling off"" period required before legislators can register as lobbyists?",g_137,Cooling-off / waiting period before officials can register as lobbyists (revolving door restriction)
Newmark2017,prohib.revolving_door,Revolving door restrictions (lawmakers prohibited from becoming lobbyists without a waiting period),g_137,Cooling-off / waiting period before officials can register as lobbyists (revolving door restriction)
FOCAL,revolving_door.2,"Database of public officials who are subject to a ban on lobbying (eg, cooling off period)",g_137,Cooling-off / waiting period before officials can register as lobbyists (revolving door restriction)
FOCAL,revolving_door.1,"List of all prior public offices that lobbyists have held, dates when left office",g_138,Disclosure of prior public offices held by lobbyists (with departure dates)
Newmark2005,prohib_campaign_contrib_any_time,campaign contributions at any time,g_139,Lobbyists prohibited from making campaign contributions at any time
Newmark2017,prohib.contributions_anytime,Lobbyists prohibited from making campaign contributions at any time,g_139,Lobbyists prohibited from making campaign contributions at any time
Newmark2005,prohib_campaign_contrib_during_session,campaign contributions during the legislative session,g_140,Lobbyists prohibited from making campaign contributions during legislative sessions
Newmark2017,prohib.contributions_during_session,Lobbyists prohibited from making campaign contributions during legislative sessions,g_140,Lobbyists prohibited from making campaign contributions during legislative sessions
Newmark2005,prohib_expenditures_over_threshold,expenditures in excess of a certain dollar amount per year,g_141,Cap on lobbyist expenditures over a dollar threshold per year
Newmark2005,prohib_solicitation_by_officials,solicitation by officials or employees for contributions or gifts,g_142,Solicitation by officials/employees for contributions or gifts is prohibited
Newmark2017,prohib.solicitation_by_officials,Solicitation by officials or employees for contributions or gifts is prohibited,g_142,Solicitation by officials/employees for contributions or gifts is prohibited
Newmark2017,prohib.contingent_compensation,Contingent compensation is prohibited (lobbyists receiving pay only on achieving a lobbying-related objective),g_143,Contingent compensation prohibited (paying lobbyists only on outcome)
FOCAL,financials.11,"Campaign/political contributions, including in-kind",g_144,Disclosure of campaign/political contributions made by lobbyists (including in-kind)
