paper,indicator_id,indicator_text,section,blob,topics,ntopics
AccessInfo,scope.5,"Citizen interactions concerning private affairs shall not be considered lobbying, save where they may concern individual economic interests of sufficient size or importance to potentially compromise public interest; in such case a balancing act on benefit and efficacy of regulation is needed, with consideration for constitutional protections.",REGULATORY SCOPE > Exceptions,"citizen interactions concerning private affairs shall not be considered lobbying, save where they may concern individual economic interests of sufficient size or importance to potentially compromise public interest; in such case a balancing act on benefit and efficacy of regulation is needed, with consideration for constitutional protections. regulatory scope > exceptions","['disc_position', 'disc_business_assoc', 'enforce_oversight_body']",3
AccessInfo,scope.6,"If deemed necessary, the regulation may exclude public officials acting in their official capacity, diplomatic agents of foreign states, and political parties (since they play a quasi-public role).",REGULATORY SCOPE > Exceptions,"if deemed necessary, the regulation may exclude public officials acting in their official capacity, diplomatic agents of foreign states, and political parties (since they play a quasi-public role). regulatory scope > exceptions","['def_exempt_officials', 'enforce_oversight_body']",2
AccessInfo,transp.1,"Mandatory register: framework should require establishment of a mandatory lobbying register to which lobbyists, and all organisations who lobby (in-house or other), must sign up; activities are reported on a periodic basis along with designated supplementary information.",TRANSPARENCY > Lobbying Register,"mandatory register: framework should require establishment of a mandatory lobbying register to which lobbyists, and all organisations who lobby (in-house or other), must sign up; activities are reported on a periodic basis along with designated supplementary information. transparency > lobbying register",['reg_register'],1
AccessInfo,transp.2,"Timely registration and reporting: initial lobbyist registration should take place before any lobbying activity; updates shortly after relevant changes; activity reporting frequency set to allow meaningful analysis (minimum quarterly, ideally close to real-time).",TRANSPARENCY > Lobbying Register,"timely registration and reporting: initial lobbyist registration should take place before any lobbying activity; updates shortly after relevant changes; activity reporting frequency set to allow meaningful analysis (minimum quarterly, ideally close to real-time). transparency > lobbying register","['def_what_lobbying', 'freq_cadence', 'timeliness']",3
AccessInfo,transp.3,"Information disclosed: among others, the register shall include information on lobbyist identity, subject matter and outcomes sought, ultimate beneficiary, targeted institution/official, type and frequency of activities, supporting documentation, expenditure (incl. in-kind), funding sources, political contributions, prior public-official roles (incl. family), and public funding received.",TRANSPARENCY > Lobbying Register,"information disclosed: among others, the register shall include information on lobbyist identity, subject matter and outcomes sought, ultimate beneficiary, targeted institution/official, type and frequency of activities, supporting documentation, expenditure (incl. in-kind), funding sources, political contributions, prior public-official roles (incl. family), and public funding received. transparency > lobbying register","['reg_org_subsidiary', 'disc_subject', 'disc_gifts', 'disc_camp_contrib', 'disc_funding_pubmoney', 'data_dictionary']",6
AccessInfo,transp.3.a,Lobbyist identity,TRANSPARENCY > Lobbying Register > Information disclosed,lobbyist identity transparency > lobbying register > information disclosed,[],0
AccessInfo,transp.3.b,The subject matter of lobbying activities and outcomes sought,TRANSPARENCY > Lobbying Register > Information disclosed,the subject matter of lobbying activities and outcomes sought transparency > lobbying register > information disclosed,['disc_subject'],1
AccessInfo,transp.3.c,The ultimate beneficiary of lobbying activities (where relevant),TRANSPARENCY > Lobbying Register > Information disclosed,the ultimate beneficiary of lobbying activities (where relevant) transparency > lobbying register > information disclosed,['reg_org_subsidiary'],1
AccessInfo,transp.3.d,The targeted institution and/or the public official concerned,TRANSPARENCY > Lobbying Register > Information disclosed,the targeted institution and/or the public official concerned transparency > lobbying register > information disclosed,[],0
AccessInfo,transp.3.e,The type and frequency of lobbying activities,TRANSPARENCY > Lobbying Register > Information disclosed,the type and frequency of lobbying activities transparency > lobbying register > information disclosed,[],0
AccessInfo,transp.3.f,Any supporting documentation shared with the public officials,TRANSPARENCY > Lobbying Register > Information disclosed,any supporting documentation shared with the public officials transparency > lobbying register > information disclosed,['data_dictionary'],1
AccessInfo,transp.3.g,"Lobbying expenditure, including in-kind (calculated to set criteria, in cost bands if need be)",TRANSPARENCY > Lobbying Register > Information disclosed,"lobbying expenditure, including in-kind (calculated to set criteria, in cost bands if need be) transparency > lobbying register > information disclosed",['disc_gifts'],1
AccessInfo,transp.3.h,"Sources of funding, per client and per dossier",TRANSPARENCY > Lobbying Register > Information disclosed,"sources of funding, per client and per dossier transparency > lobbying register > information disclosed",[],0
AccessInfo,transp.3.i,"Any political contributions, including in-kind",TRANSPARENCY > Lobbying Register > Information disclosed,"any political contributions, including in-kind transparency > lobbying register > information disclosed","['disc_gifts', 'disc_camp_contrib']",2
AccessInfo,transp.3.j,Any prior roles as public official held by the individual and/or family members,TRANSPARENCY > Lobbying Register > Information disclosed,any prior roles as public official held by the individual and/or family members transparency > lobbying register > information disclosed,['reg_org_subsidiary'],1
AccessInfo,transp.3.k,Public funding received,TRANSPARENCY > Lobbying Register > Information disclosed,public funding received transparency > lobbying register > information disclosed,['disc_funding_pubmoney'],1
AccessInfo,transp.4,"Accessibility, openness and comparability of data: information online via single website, free of charge, indexable and downloadable in full as machine-readable open data (per opendefinition.org); should conform to existing open data standards; unique identifier per lobbyist/organisation; linking to other data sets is recommended.",TRANSPARENCY > Lobbying Register,"accessibility, openness and comparability of data: information online via single website, free of charge, indexable and downloadable in full as machine-readable open data (per opendefinition.org); should conform to existing open data standards; unique identifier per lobbyist/organisation; linking to other data sets is recommended. transparency > lobbying register","['access_online', 'access_searchable', 'access_bulk', 'access_free']",4
AccessInfo,transp.5,Minimal administrative burden: system should allow ease of registration and reporting and minimise burden; balance with public-sector proactive disclosure obligations and the public right to know.,TRANSPARENCY > Lobbying Register,minimal administrative burden: system should allow ease of registration and reporting and minimise burden; balance with public-sector proactive disclosure obligations and the public right to know. transparency > lobbying register,['def_what_lobbying'],1
AccessInfo,transp.6,"Access to information law: a comprehensive access-to-information law shall guarantee the public's right of access to information, including information about lobbying.",TRANSPARENCY > Public Access to Information,"access to information law: a comprehensive access-to-information law shall guarantee the public's right of access to information, including information about lobbying. transparency > public access to information",[],0
AccessInfo,transp.7,"Limited exceptions: ATI law should set out a limited number of exceptions (privacy, security, financial sensitivity, decision-making process, other legitimate concerns), bound by a harm and public-interest test in line with international standards.",TRANSPARENCY > Public Access to Information,"limited exceptions: ati law should set out a limited number of exceptions (privacy, security, financial sensitivity, decision-making process, other legitimate concerns), bound by a harm and public-interest test in line with international standards. transparency > public access to information",[],0
AccessInfo,transp.8,"Proactive publication: public bodies/officials proactively publish organisational, programmatic, administrative, financial, and business-schedule information; meeting summaries; background documentation; preparatory analyses; obligations extend to expert/consultative bodies.",TRANSPARENCY > Public Access to Information,"proactive publication: public bodies/officials proactively publish organisational, programmatic, administrative, financial, and business-schedule information; meeting summaries; background documentation; preparatory analyses; obligations extend to expert/consultative bodies. transparency > public access to information",['data_dictionary'],1
AccessInfo,transp.9,"Decision-making footprint: where possible, and certainly for all legislative and policy initiatives, information should be clustered around individual items, producing a 'decision-making footprint' outlining history, public engagement and process; should link to lobbying-register data.",TRANSPARENCY > Public Access to Information,"decision-making footprint: where possible, and certainly for all legislative and policy initiatives, information should be clustered around individual items, producing a 'decision-making footprint' outlining history, public engagement and process; should link to lobbying-register data. transparency > public access to information",[],0
AccessInfo,transp.10,"Clear, free and comprehensive: all information made public without charge (excluding actual delivery costs) and without limits to reuse; key information accessible/comprehensible to citizens and interest groups; recently generated data published as machine-readable open data.",TRANSPARENCY > Public Access to Information,"clear, free and comprehensive: all information made public without charge (excluding actual delivery costs) and without limits to reuse; key information accessible/comprehensible to citizens and interest groups; recently generated data published as machine-readable open data. transparency > public access to information","['access_bulk', 'access_free']",2
AccessInfo,integ.1,"Codes of Conduct (public officials): all public officials shall have an applicable set of rules laying out key standards of conduct including for dealings with third parties; rules may be institution-dependent but should include behavioural principles, record-keeping duty, duty to avoid unregistered lobbyists, confidentiality, conflict-of-interest mechanism, gifts/hospitality guidance, assets/interests disclosure.",INTEGRITY > Public Officials,"codes of conduct (public officials): all public officials shall have an applicable set of rules laying out key standards of conduct including for dealings with third parties; rules may be institution-dependent but should include behavioural principles, record-keeping duty, duty to avoid unregistered lobbyists, confidentiality, conflict-of-interest mechanism, gifts/hospitality guidance, assets/interests disclosure. integrity > public officials","['disc_gifts', 'training']",2
AccessInfo,integ.1.a,"Key behavioural principles including transparency, integrity, responsiveness, impartiality, fairness, accountability and serving the public interest",INTEGRITY > Public Officials > Codes of Conduct,"key behavioural principles including transparency, integrity, responsiveness, impartiality, fairness, accountability and serving the public interest integrity > public officials > codes of conduct",[],0
AccessInfo,integ.1.b,"The duty to keep a true and detailed record of their actions, including of meetings with lobbyists",INTEGRITY > Public Officials > Codes of Conduct,"the duty to keep a true and detailed record of their actions, including of meetings with lobbyists integrity > public officials > codes of conduct",[],0
AccessInfo,integ.1.c,"The duty to avoid lobbying contacts with unregistered lobbyists, and to report any violations of the lobbying rules to their superiors or relevant bodies",INTEGRITY > Public Officials > Codes of Conduct,"the duty to avoid lobbying contacts with unregistered lobbyists, and to report any violations of the lobbying rules to their superiors or relevant bodies integrity > public officials > codes of conduct",[],0
AccessInfo,integ.1.d,"The duty of confidentiality, subject to the public access to information regime",INTEGRITY > Public Officials > Codes of Conduct,"the duty of confidentiality, subject to the public access to information regime integrity > public officials > codes of conduct",[],0
AccessInfo,integ.1.e,"A comprehensive mechanism for dealing with any real, potential or apparent conflicts of interest, including the incompatibilities of being a lobbyist",INTEGRITY > Public Officials > Codes of Conduct,"a comprehensive mechanism for dealing with any real, potential or apparent conflicts of interest, including the incompatibilities of being a lobbyist integrity > public officials > codes of conduct",[],0
AccessInfo,integ.1.f,"A comprehensive guidance for dealing with gifts and hospitality, including their registration or decline",INTEGRITY > Public Officials > Codes of Conduct,"a comprehensive guidance for dealing with gifts and hospitality, including their registration or decline integrity > public officials > codes of conduct","['disc_gifts', 'training']",2
AccessInfo,integ.1.g,"A system for assets and interests disclosure by the public official, as well as by their family and business partners depending on the scope of decision-making power",INTEGRITY > Public Officials > Codes of Conduct,"a system for assets and interests disclosure by the public official, as well as by their family and business partners depending on the scope of decision-making power integrity > public officials > codes of conduct",[],0
AccessInfo,integ.2,Post-employment restrictions: proportionate moratoria (or 'cooling-off periods') of at least 2 years before former public officials can lobby their former institutions concerning prior duties; approval from a designated ethics agency may be required.,INTEGRITY > Public Officials,post-employment restrictions: proportionate moratoria (or 'cooling-off periods') of at least 2 years before former public officials can lobby their former institutions concerning prior duties; approval from a designated ethics agency may be required. integrity > public officials,"['disc_revolving', 'proh_revolving']",2
AccessInfo,integ.3,"Pre-employment restrictions: prospective public officials (excluding those elected), particularly those hired/seconded into advisory and regulatory roles, subject to a conflict-of-interest vetting process that may necessitate recusal, supervision, or disqualification; omission to declare relevant details should trigger disciplinary procedures.",INTEGRITY > Public Officials,"pre-employment restrictions: prospective public officials (excluding those elected), particularly those hired/seconded into advisory and regulatory roles, subject to a conflict-of-interest vetting process that may necessitate recusal, supervision, or disqualification; omission to declare relevant details should trigger disciplinary procedures. integrity > public officials","['enforce_oversight_body', 'training']",2
AccessInfo,integ.4,Statutory code of conduct: there should be a statutory code of conduct for lobbyists developed in close consultation with all stakeholders and interested parties.,INTEGRITY > Lobbyists,statutory code of conduct: there should be a statutory code of conduct for lobbyists developed in close consultation with all stakeholders and interested parties. integrity > lobbyists,['code_of_conduct'],1
AccessInfo,integ.5,"Behavioural standards: the code shall lay out core behavioural standards, particularly with regard to honesty and the avoidance of undue influence.",INTEGRITY > Lobbyists,"behavioural standards: the code shall lay out core behavioural standards, particularly with regard to honesty and the avoidance of undue influence. integrity > lobbyists",['code_of_conduct'],1
AccessInfo,integ.6,"Self-regulation: supplementary measures shall be taken to encourage lobbyists to voluntarily adopt, publicise and report on additional ethical commitments, including through collective action; commitments backed by internal control/sanction mechanisms and integrated within CSR/governance strategy.",INTEGRITY > Lobbyists,"self-regulation: supplementary measures shall be taken to encourage lobbyists to voluntarily adopt, publicise and report on additional ethical commitments, including through collective action; commitments backed by internal control/sanction mechanisms and integrated within csr/governance strategy. integrity > lobbyists",['penalties'],1
AccessInfo,part.1,"Right to participate: a generally recognised right for all groups and the public at large to participate in public decision-making, extending in particular to legislative and policy matters, within all levels of governance.",PARTICIPATION & ACCESS > Public Participation in Decision-making,"right to participate: a generally recognised right for all groups and the public at large to participate in public decision-making, extending in particular to legislative and policy matters, within all levels of governance. participation & access > public participation in decision-making","['def_what_lobbying', 'public_consultation']",2
AccessInfo,part.2,"Public consultation process: a legal framework should lay out, in a law or group of laws, the varied means for public participation in formulation, implementation, and evaluation of policies and laws — including timeframes, mechanisms to disseminate meeting information, attendance/participation rules, and tools to submit comments.",PARTICIPATION & ACCESS > Public Participation in Decision-making,"public consultation process: a legal framework should lay out, in a law or group of laws, the varied means for public participation in formulation, implementation, and evaluation of policies and laws — including timeframes, mechanisms to disseminate meeting information, attendance/participation rules, and tools to submit comments. participation & access > public participation in decision-making",['public_consultation'],1
AccessInfo,part.3,Equal opportunity: there shall be an obligation on public authorities to provide an equal opportunity for participation to various interest groups and the public at large.,PARTICIPATION & ACCESS > Public Participation in Decision-making,equal opportunity: there shall be an obligation on public authorities to provide an equal opportunity for participation to various interest groups and the public at large. participation & access > public participation in decision-making,['public_consultation'],1
AccessInfo,part.4,"Timely and effective contribution: public authorities should provide an adequate consultation period allowing sufficient time for review of preparatory materials, and should promote effective participation at the appropriate stage while decisions are still open.",PARTICIPATION & ACCESS > Public Participation in Decision-making,"timely and effective contribution: public authorities should provide an adequate consultation period allowing sufficient time for review of preparatory materials, and should promote effective participation at the appropriate stage while decisions are still open. participation & access > public participation in decision-making","['timeliness', 'public_consultation']",2
AccessInfo,part.5,Publication of results: written and verbal views of consultation participants shall be made public; authorities should outline how the various views have been taken into account and why.,PARTICIPATION & ACCESS > Public Participation in Decision-making,publication of results: written and verbal views of consultation participants shall be made public; authorities should outline how the various views have been taken into account and why. participation & access > public participation in decision-making,['public_consultation'],1
AccessInfo,part.6,Refusals of the right: public authorities shall provide a written justification for any refusal of the right to participate; those excluded shall have options to challenge and contest the exclusion in a procedure expeditious enough to allow participation if the refusal is overturned.,PARTICIPATION & ACCESS > Public Participation in Decision-making,refusals of the right: public authorities shall provide a written justification for any refusal of the right to participate; those excluded shall have options to challenge and contest the exclusion in a procedure expeditious enough to allow participation if the refusal is overturned. participation & access > public participation in decision-making,['public_consultation'],1
AccessInfo,part.7,"Balanced composition: there should be a legal obligation on public authorities to strive for a balanced composition of expert and advisory bodies, representing a diversity of interests and views.",PARTICIPATION & ACCESS > Expert/Advisory Groups,"balanced composition: there should be a legal obligation on public authorities to strive for a balanced composition of expert and advisory bodies, representing a diversity of interests and views. participation & access > expert/advisory groups",['training'],1
AccessInfo,part.8,Disclosure of interests: advisory and expert group members shall be required to disclose their interests and affiliations relevant to items under consideration in advance of any work on the issue.,PARTICIPATION & ACCESS > Expert/Advisory Groups,disclosure of interests: advisory and expert group members shall be required to disclose their interests and affiliations relevant to items under consideration in advance of any work on the issue. participation & access > expert/advisory groups,"['reg_org_subsidiary', 'disc_position', 'training']",3
AccessInfo,part.9,"Lobbyist incentives: any lobbyist incentives should be considered with care, so as not to entrench special privilege of organised interests over those of individual citizens.",PARTICIPATION & ACCESS > Lobbyist incentives,"lobbyist incentives: any lobbyist incentives should be considered with care, so as not to entrench special privilege of organised interests over those of individual citizens. participation & access > lobbyist incentives",['disc_position'],1
AccessInfo,overs.1,"Management & Investigation: an independent, mandated and well-resourced oversight body or coordinated mechanism should be charged with managing registration, reviewing conflicts of interest, collating proactively disclosed information, monitoring compliance (incl. spot-audits), following up on complaints, investigating breaches, and consulting on/defining further provisions.","OVERSIGHT, MANAGEMENT AND SANCTIONS","management & investigation: an independent, mandated and well-resourced oversight body or coordinated mechanism should be charged with managing registration, reviewing conflicts of interest, collating proactively disclosed information, monitoring compliance (incl. spot-audits), following up on complaints, investigating breaches, and consulting on/defining further provisions. oversight, management and sanctions","['enforce_audits', 'enforce_oversight_body', 'penalties']",3
AccessInfo,overs.1.a,Managing lobbying registration,"OVERSIGHT, MANAGEMENT AND SANCTIONS > Management & Investigation","managing lobbying registration oversight, management and sanctions > management & investigation",['penalties'],1
AccessInfo,overs.1.b,Reviewing potential conflicts of interest,"OVERSIGHT, MANAGEMENT AND SANCTIONS > Management & Investigation","reviewing potential conflicts of interest oversight, management and sanctions > management & investigation",['penalties'],1
AccessInfo,overs.1.c,Collating and disseminating the locations of proactively disclosed information,"OVERSIGHT, MANAGEMENT AND SANCTIONS > Management & Investigation","collating and disseminating the locations of proactively disclosed information oversight, management and sanctions > management & investigation",['penalties'],1
AccessInfo,overs.1.d,Monitoring compliance (including pro-active verification and spot-audits of reports),"OVERSIGHT, MANAGEMENT AND SANCTIONS > Management & Investigation","monitoring compliance (including pro-active verification and spot-audits of reports) oversight, management and sanctions > management & investigation","['enforce_audits', 'penalties']",2
AccessInfo,overs.1.e,Following up on complaints,"OVERSIGHT, MANAGEMENT AND SANCTIONS > Management & Investigation","following up on complaints oversight, management and sanctions > management & investigation",['penalties'],1
AccessInfo,overs.1.f,Investigating apparent breaches and anomalies,"OVERSIGHT, MANAGEMENT AND SANCTIONS > Management & Investigation","investigating apparent breaches and anomalies oversight, management and sanctions > management & investigation",['penalties'],1
AccessInfo,overs.1.g,Consulting on and defining further regulatory provisions where there is a mandate,"OVERSIGHT, MANAGEMENT AND SANCTIONS > Management & Investigation","consulting on and defining further regulatory provisions where there is a mandate oversight, management and sanctions > management & investigation","['enforce_oversight_body', 'penalties']",2
AccessInfo,overs.2,"Advice, analysis and awareness raising: the oversight body should also offer guidance and training to lobbyists and public officials, analyse trends and report findings, raise awareness among the public and the profession, and promote best practice.","OVERSIGHT, MANAGEMENT AND SANCTIONS","advice, analysis and awareness raising: the oversight body should also offer guidance and training to lobbyists and public officials, analyse trends and report findings, raise awareness among the public and the profession, and promote best practice. oversight, management and sanctions","['enforce_oversight_body', 'penalties', 'training']",3
AccessInfo,overs.3,"Complaint mechanism: a well-publicised complaint mechanism that allows anyone to report violations openly, confidentially or anonymously, and to be informed on the specific outcome of the complaint, subject to privacy limitations.","OVERSIGHT, MANAGEMENT AND SANCTIONS","complaint mechanism: a well-publicised complaint mechanism that allows anyone to report violations openly, confidentially or anonymously, and to be informed on the specific outcome of the complaint, subject to privacy limitations. oversight, management and sanctions",['penalties'],1
AccessInfo,overs.4,"Sanctions: lobbyists and public officials shall be subject to effective, proportionate and dissuasive sanctions for violations; sliding scale incl. criminal sanctions, (temporary) de-registration, and disciplinary proceedings; sanctioned names may be published; contracts concluded in violation may be deemed null and void; personal liability of leadership where they consented or connived.","OVERSIGHT, MANAGEMENT AND SANCTIONS","sanctions: lobbyists and public officials shall be subject to effective, proportionate and dissuasive sanctions for violations; sliding scale incl. criminal sanctions, (temporary) de-registration, and disciplinary proceedings; sanctioned names may be published; contracts concluded in violation may be deemed null and void; personal liability of leadership where they consented or connived. oversight, management and sanctions",['penalties'],1
