indicator_id,category,indicator_text,data_type,source,scoring_direction,scoring_guidance,notes
3.3b,Openness,Data is available free of charge.,binary,focal_2024_decomposed,normal,Evidence: landing + bulk_download + any purchasing-page captures. Score 1 if data access is free. Score 0 if any basic access tier requires payment.,Decomposed from 3.3.
3.3c,Openness,Data is available under an open license (no re-use restrictions).,binary,focal_2024_decomposed,normal,"Evidence: landing + terms-of-use + data_dictionary. Score 1 if an open license is published (CC0, CC-BY, public domain, or equivalent) OR no restrictive license is imposed. Score 0 if terms of use impose redistribution or commercial-use restrictions.",Decomposed from 3.3.
3.3d,Openness,Data is available in a non-proprietary format.,binary,focal_2024_decomposed,normal,"Evidence: bulk_download + data_dictionary. Score 1 if bulk data is downloadable in CSV/JSON/XML/TSV (any open format). Score 0 if only PDF or Excel-only (.xls/.xlsx) is offered.",Decomposed from 3.3.
3.3e,Openness,Data is machine-readable.,binary,focal_2024_decomposed,normal,"Evidence: bulk_download. Score 1 if data is structured (not PDF-only, not image-scan, not unstructured HTML). Score 0 if the only available format is PDF, image, or HTML-only.",Decomposed from 3.3.
3.4,Openness,"Data is downloadable in bulk (as files or a database).",binary,focal_2024_verbatim,normal,Evidence: bulk_download. Score 1 if a bulk-download mechanism exists (ZIP/CSV/database dump). Score 0 if only record-by-record access via search UI.,
3.5,Openness,"Data is searchable with simultaneous sorting across multiple criteria.",binary,focal_2024_verbatim,normal,"Evidence: search UI. Score 1 if the portal's search supports filtering on at least 3 criteria simultaneously (e.g., lobbyist name + year + client) AND sorting of results. Score 0 otherwise. Flag if SPA-rendered and uninspectable from curl snapshot.",SPA-only portals may require Playwright for honest scoring; flag rather than null-score.
3.6,Openness,"Records use unique identifiers (for lobbyists, principals, and organizations).",binary,focal_2024_verbatim,normal,"Evidence: data_dictionary + bulk_download sample. Score 1 if records carry stable numeric or string IDs distinguishable from names (e.g., lobbyist_id, principal_id). Score 0 if only names are used.",
3.7,Openness,"Lobbying data is linked or interconnected with other data sets (e.g., campaign finance).",binary,focal_2024_verbatim,normal,Evidence: data_dictionary + landing + any cross-referenced portal pages. Score 1 if the portal explicitly connects lobbying records to another dataset (campaign finance disclosure records; business-entity registry). Score 0 if lobbying data is siloed.,
3.8,Openness,Historical data is archived and downloadable.,binary,focal_2024_verbatim,normal,"Evidence: historical_archive + bulk_download. Score 1 if data from prior years (at least 5 years back) is downloadable. Score 0 if only current-year data is accessible.",
3.9,Openness,Changes or updates to records are flagged and tracked.,binary,focal_2024_verbatim,normal,Evidence: data_dictionary + bulk_download sample. Score 1 if the portal or data model exposes update timestamps or change flags per record. Score 0 otherwise.,
4.1,Descriptors,"Full names of lobbyists and organizations are recorded (not abbreviations or ambiguous names).",binary,focal_2024_verbatim,normal,"Evidence: registration form + data_dictionary + sample record. Score 1 if the registration schema requires full legal names. Score 0 if initials or abbreviations are accepted.",
4.2,Descriptors,"Contact details (address, telephone, and/or website) are recorded for lobbyists and organizations.",binary,focal_2024_verbatim,normal,Evidence: registration form + data_dictionary. Score 1 if at least 2 of (address / phone / email or website) are required fields. Score 0 if fewer are required.,
4.3,Descriptors,"Legal form (public, private, not-for-profit, NGO, government) is recorded for registered organizations.",binary,focal_2024_verbatim,normal,Evidence: registration form + data_dictionary. Score 1 if legal-form is a required field. Score 0 if not collected or optional.,
4.4,Descriptors,A business entity identifier (state entity ID or federal EIN) is recorded for registered organizations.,binary,focal_2024_operationalized,normal,"Evidence: registration form + data_dictionary. FOCAL original said 'company registration number'; US-state translation allows either state Secretary-of-State entity ID or federal EIN. Score 1 if either is a required field.",
4.5,Descriptors,Industry sector / sub-sector is recorded for registered organizations.,binary,focal_2024_verbatim,normal,"Evidence: registration form + data_dictionary. Score 1 if a sector field (e.g., NAICS code or freeform sector text) is required. Score 0 if not collected.",
4.6,Descriptors,"Type of lobbyist contract (salaried in-house vs. contracted consultant) is recorded.",binary,focal_2024_verbatim,normal,Evidence: registration form + data_dictionary. Score 1 if contract type is a required field distinguishing employee from contractor. Score 0 otherwise.,
5.1,Revolving door,"Prior public-office experience (offices held and dates of service) is recorded for registered lobbyists.",binary,focal_2024_verbatim,normal,"Evidence: registration form + data_dictionary + sample record. Score 1 if the registration schema requires disclosure of prior public offices held. Score 0 if not collected or only optional.",
5.2,Revolving door,The state publishes (or enforces) a database of public officials subject to a cooling-off period / lobbying ban.,binary,focal_2024_verbatim,normal,"Evidence: statute + ethics-commission page. Score 1 if there is a statutory cooling-off period AND a published list of officials bound by it (or an enforcement mechanism for identifying them). Score 0 if the cooling-off period exists only as statute with no enforcement/database mechanism, or if no such period exists.",
6.1,Relationships,"Lobbyist-client relationships are recorded (client lists for consultant lobbyists and firms).",binary,focal_2024_verbatim,normal,Evidence: registration form + data_dictionary. Score 1 if lobbyist registrations must list the clients they represent. Score 0 otherwise.,
6.2,Relationships,"For associations / membership organizations, the member or sponsor list is recorded.",binary,focal_2024_verbatim,normal,"Evidence: registration form + data_dictionary. Score 1 if association registrations must disclose their member/sponsor list. Score 0 if not required.",
6.3,Relationships,"Board seats held by registered lobbyists (in associations, companies) are recorded.",binary,focal_2024_verbatim,normal,Evidence: registration form + data_dictionary. Score 1 if lobbyists must disclose board seats they hold. Score 0 otherwise.,
6.4,Relationships,"Direct business associations between lobbyists and public officials (or candidates / household members) are recorded.",binary,focal_2024_verbatim,normal,Evidence: registration form + data_dictionary. Score 1 if direct financial or business relationships with officials must be disclosed. Score 0 if not required.,
7.1,Financials,Total lobbying income (for consultant lobbyists / lobby firms) is recorded.,binary,focal_2024_verbatim,normal,Evidence: expenditures form + data_dictionary. Score 1 if total income is a required disclosure. Score 0 otherwise.,Applies to consultant lobbyists and firms.
7.2,Financials,Lobbying income is itemized per client.,binary,focal_2024_verbatim,normal,Evidence: expenditures form + data_dictionary. Score 1 if per-client income itemization is required. Score 0 if only aggregate totals are required.,
7.3,Financials,"Income sources (including government agencies, foundations, companies) and amounts received are recorded.",binary,focal_2024_verbatim,normal,"Evidence: expenditures form + data_dictionary. Score 1 if income-source categories are required disclosures. Score 0 otherwise.",
7.4,Financials,Number of lobbyists employed or contracted is recorded (headcount and FTE equivalent).,binary,focal_2024_verbatim,normal,Evidence: registration form + expenditures form. Score 1 if lobbyist counts (headcount OR FTE) are required. Score 0 otherwise.,
7.5,Financials,"Amount of time (hours) spent on lobbying is recorded.",binary,focal_2024_verbatim,normal,Evidence: expenditures form + data_dictionary. Score 1 if time/hours spent lobbying is a required disclosure. Score 0 otherwise.,
7.6,Financials,"Total lobbying expenditure (in-house + consulting) is recorded.",binary,focal_2024_verbatim,normal,Evidence: expenditures form + data_dictionary. Score 1 if total expenditure is a required disclosure. Score 0 otherwise.,
7.7,Financials,"Compensated vs. uncompensated lobbying activities are distinguished in disclosures.",binary,focal_2024_verbatim,normal,Evidence: expenditures form + data_dictionary. Score 1 if the disclosure schema distinguishes paid from pro-bono lobbying. Score 0 otherwise.,
7.8,Financials,Expenditure is itemized per issue / policy area.,binary,focal_2024_verbatim,normal,Evidence: expenditures form + data_dictionary. Score 1 if per-issue expenditure itemization is required. Score 0 otherwise.,
7.9,Financials,"Expenditure on membership / sponsorship of lobbying organizations (trade associations) is recorded.",binary,focal_2024_verbatim,normal,Evidence: expenditures form + data_dictionary. Score 1 if payments to trade associations / lobbying coalitions must be disclosed. Score 0 otherwise.,
7.10,Financials,"Expenditures benefiting public officials (gifts, meals, travel, honoraria, in-kind support) are recorded, including the official benefited and the lobbyist's employer/principal.",binary,focal_2024_verbatim,normal,Evidence: expenditures form + statute + data_dictionary. Score 1 if gifts/benefits to officials are required disclosures with beneficiary and sponsor named. Score 0 if such disclosures are absent or anonymized.,
7.11,Financials,"Campaign or political contributions by lobbyists (including in-kind) are recorded (or cross-linked from campaign finance disclosure).",binary,focal_2024_verbatim,normal,"Evidence: expenditures form + cross-reference to campaign-finance portal. Score 1 if lobbyist political contributions are disclosed OR the lobbying portal cross-references the state's campaign-finance disclosures. Score 0 if no such linkage exists.",
8.1,Contact log,"(If a contact-log mechanism exists.) Organization/interest represented (beneficiary) is recorded per contact.",binary,focal_2024_verbatim,normal,Evidence: contact-log form + data_dictionary. Score 1 ONLY if the state has a contact-log mechanism AND this field is required. Score 0 if no mechanism OR field not required. Most US states score 0.,Category 8 auto-scores 0 for states lacking a contact-log mechanism — FOCAL category defined at the indicator level accepts this.
8.2,Contact log,(If contact-log exists.) Names of persons contacted and their position/role are recorded.,binary,focal_2024_verbatim,normal,Evidence: contact-log form + data_dictionary. Score 1 ONLY if mechanism exists AND field required. Score 0 otherwise.,
8.3,Contact log,(If contact-log exists.) Institution / department contacted is recorded.,binary,focal_2024_verbatim,normal,Evidence: contact-log form + data_dictionary. Score 1 ONLY if mechanism exists AND field required. Score 0 otherwise.,
8.4,Contact log,"(If contact-log exists.) For meetings, names of all attendees are recorded.",binary,focal_2024_verbatim,normal,Evidence: contact-log form + data_dictionary. Score 1 ONLY if mechanism exists AND field required. Score 0 otherwise.,
8.5,Contact log,(If contact-log exists.) Date of contact is recorded.,binary,focal_2024_verbatim,normal,Evidence: contact-log form + data_dictionary. Score 1 ONLY if mechanism exists AND field required. Score 0 otherwise.,
8.6,Contact log,"(If contact-log exists.) Form of contact (in-person, video conference, phone call) is recorded.",binary,focal_2024_verbatim,normal,Evidence: contact-log form + data_dictionary. Score 1 ONLY if mechanism exists AND field required. Score 0 otherwise.,
8.7,Contact log,(If contact-log exists.) Location of contact is recorded.,binary,focal_2024_verbatim,normal,Evidence: contact-log form + data_dictionary. Score 1 ONLY if mechanism exists AND field required. Score 0 otherwise.,
8.8,Contact log,"(If contact-log exists.) Materials shared during contact (excluding commercially sensitive materials) are recorded.",binary,focal_2024_verbatim,normal,Evidence: contact-log form + data_dictionary. Score 1 ONLY if mechanism exists AND field required. Score 0 otherwise.,
8.9,Contact log,(If contact-log exists.) Topics / issues discussed are recorded.,binary,focal_2024_verbatim,normal,Evidence: contact-log form + data_dictionary. Score 1 ONLY if mechanism exists AND field required. Score 0 otherwise.,
8.10,Contact log,(If contact-log exists.) Outcomes sought (legislation/policies supported or opposed) are recorded.,binary,focal_2024_verbatim,normal,Evidence: contact-log form + data_dictionary. Score 1 ONLY if mechanism exists AND field required. Score 0 otherwise.,
8.11,Contact log,"(If contact-log exists.) Targeted areas of public policy or specific legislative references (bill numbers) are recorded.",binary,focal_2024_verbatim,normal,Evidence: contact-log form + data_dictionary. Score 1 ONLY if mechanism exists AND field required. Score 0 otherwise.,
