id,row_id,criterion,tag,evidence,note
11,THRESHOLD_LOBBYING_TIME_PRESENT,C1,axis-ambiguous-name,"Same pattern as THRESHOLD_LOBBYING_EXPENDITURE_PRESENT: ID does not carry exemption-only framing; description does (per D11 addendum).",Pair with DEF_TIME_STANDARD.
12,REG_EXECUTIVE_AGENCY,C1,axis-ambiguous-name,"ID 'EXECUTIVE_AGENCY' does not signal whether row is about agencies *as registrants* (actor) or lobbying *of* exec agencies (target). Description 'Executive branch agencies.' is verbatim-PRI single-noun and resolves nothing. Per D9 the row is actor-axis (must register).","Cross-row collision risk with DEF_ADMIN_AGENCY_LOBBYING_TRIGGER (target-axis). Chunk frame (definitions.md) flags this pair explicitly."
13,REG_EXECUTIVE_AGENCY,C2,description-narrower-than-rubric,"Description 'Executive branch agencies.' is two-word PRI A6 verbatim noun phrase; fails to communicate the question 'must executive-branch agencies register?' that the row asks. Compounds with C1 axis-ambiguity.",PRI-verbatim style across all REG_* A-series rows.
14,REG_EXECUTIVE_AGENCY,C4,cross-row-overlap,"Pair with DEF_ADMIN_AGENCY_LOBBYING_TRIGGER (definitions). Both reference administrative/executive agencies; one is target-axis (DEF_), one is actor-axis (REG_). Names do not encode this distinction. Iter-1 disagreement on retirement_system regime is the textbook case; chunk frame definitions.md flags this pair explicitly.","Iter-1 reference example. Whichever row's name is renamed first owns the fix."
15,REG_GOVT_LOBBYING_GOVT,C1,axis-ambiguous-name,"ID phrase 'GOVT_LOBBYING_GOVT' is itself directionally awkward. PRI A10 'Government agencies who lobby other agencies' clarifies in expansion. The atomic ID alone reads as both target and actor.",Description is one-line PRI verbatim; minimal disambiguation.
16,REG_GOVT_LOBBYING_GOVT,C2,description-narrower-than-rubric,"Description 'Government agencies who lobby other agencies.' restates PRI A10 noun phrase; lacks 'must register' question framing.",Same PRI-verbatim style.
17,REG_GOVT_LOBBYING_GOVT,C4,cross-row-overlap,"Triangulates with REG_EXECUTIVE_AGENCY and DEF_ADMIN_AGENCY_LOBBYING_TRIGGER. PRI A10 (govt-lobbying-govt) and A6 (executive branch agencies) share the agency-actor concept; the row REG_GOVT_LOBBYING_GOVT covers 'agencies as actors lobbying other agencies' which is more specific.",Three-way scope overlap among PRI A6/A8/A10.
18,DEF_PUBLIC_ENTITY,C1,axis-ambiguous-name,"ID prefix 'DEF_' but row lives in domain='registration'. Per D11 the 'DEF_' prefix was reserved for definitions-domain rows ('who is a lobbyist?'). This row asks 'does the law define public entity?' — a definitional question about public-entity status, not 'who is a lobbyist'.",4-row cluster (DEF_PUBLIC_ENTITY + 3 sub-rows for charter/ownership/structure) shares DEF_ prefix collision.
19,DEF_PUBLIC_ENTITY,C5,wrong-domain,"Row in domain='registration'; per D11 conceptual line ('definitions = predicate on the agent — who is a lobbyist?'), 'public entity definition' is a predicate on entity-class identity. Borderline — D11 explicitly placed PUBLIC_ENTITY rows in registration as 'filing-architecture features' but the DEF_ prefix + entity-class-definition substance is a stronger fit for definitions.",Appears to revisit D11 partially.
20,DEF_PUBLIC_ENTITY,C4,cross-row-overlap,"4-row cluster (parent + 3 sub-rows for charter/ownership/structure) is parent + sub-criteria pattern. PRI C1/C2/C3 are framed as 'if Yes, does the definition rely on these three inclusive criteria?' — sub-rows are conditional on parent=true. No row-level signal that sub-rows depend on parent.",Cluster has dependency that's not encoded; harness might populate sub-rows when parent is false.
21,DEF_PUBLIC_ENTITY_CHARTER,C1,axis-ambiguous-name,Same DEF_ prefix collision as DEF_PUBLIC_ENTITY. ID also lacks any verb signaling 'definition relies on charter test'.,Cluster with DEF_PUBLIC_ENTITY (parent).
22,DEF_PUBLIC_ENTITY_CHARTER,C5,wrong-domain,Same as DEF_PUBLIC_ENTITY.,Cluster.
23,DEF_PUBLIC_ENTITY_OWNERSHIP,C1,axis-ambiguous-name,Same DEF_ prefix collision; same noun-only ID.,Cluster.
24,DEF_PUBLIC_ENTITY_OWNERSHIP,C5,wrong-domain,Same as DEF_PUBLIC_ENTITY.,Cluster.
25,DEF_PUBLIC_ENTITY_STRUCTURE,C1,axis-ambiguous-name,Same DEF_ prefix collision; same noun-only ID.,Cluster.
26,DEF_PUBLIC_ENTITY_STRUCTURE,C5,wrong-domain,Same as DEF_PUBLIC_ENTITY.,Cluster.
27,REG_LOBBYIST,C2,description-narrower-than-rubric,"Description is one-word PRI A1 verbatim ('Lobbyists.') — fails to communicate 'must lobbyists register?'. 6 framework_references span PRI A1, FOCAL 1.1, Newmark/Opheim/CPI def_legislative_lobbying.",PRI-verbatim style pervasive across A-series rows.
28,REG_LOBBYIST,C3,cluster-asks-two-questions,"6 cross-refs mix 'must legislative lobbyists register?' (PRI A1, FOCAL 1.1, Hired Guns Q3) with 'def_legislative_lobbying' (Newmark/Opheim/Opheim-1991) which v2 audit (D2) classified as 'universal-yes; criterion ≈ existence of any lobbyist-registration regime'. Folding both questions onto one row is intentional per D2 but description gives no signal.",Appears consistent with D2 but description hides the merge.
29,REG_VOLUNTEER_LOBBYIST,C2,description-narrower-than-rubric,Description 'Volunteer lobbyists.' is two-word PRI A2 verbatim; does not convey the question.,Same PRI-verbatim pattern.
30,REG_PRINCIPAL,C2,description-narrower-than-rubric,Description 'Principals who employ a lobbyist.' is short PRI A3 verbatim; question 'must principals register?' is implicit.,Same pattern.
31,REG_LOBBYING_FIRM,C2,description-narrower-than-rubric,Description 'Lobbying firms.' is two-word PRI A4 verbatim.,Same pattern.
32,REG_GOVERNORS_OFFICE,C2,description-narrower-than-rubric,Description 'Governor's office.' is two-word PRI A5 verbatim.,Same pattern.
33,REG_LEGISLATIVE_BRANCH,C2,description-narrower-than-rubric,Description 'Legislative branch.' is two-word PRI A7 verbatim.,Same pattern.
34,REG_INDEPENDENT_AGENCY,C2,description-narrower-than-rubric,Description 'Independent agencies.' is two-word PRI A8 verbatim.,Same pattern.
35,REG_LOCAL_GOVERNMENT,C2,description-narrower-than-rubric,Description 'Local governments.' is two-word PRI A9 verbatim.,Same pattern.
36,REG_OTHER_PUBLIC_ENTITY,C2,description-narrower-than-rubric,"Description 'Public entities, other than government agencies.' is PRI A11 verbatim noun phrase.",Same pattern.
37,REG_LOBBYING_ACTIVITY_FORMS_SCOPE,C1,axis-ambiguous-name,"ID '_FORMS_SCOPE' reads as 'scope of registration forms (paper)' but is actually 'scope of activity-forms counted as lobbying' (oral/written/electronic). Different concepts; the polysemy of 'forms' is the bug.",Mild but real ID confusion.
38,REG_LOBBYING_TARGETS_SCOPE,C2,description-broader-than-rubric,"Description verbatim FOCAL 1.3 with Westminster role names ('Ministers, Deputy Ministers, Director-Generals'). focal_2024_indicators.csv flags this: 'Westminster-centric role names; US-state application must translate to governor, lt. governor, legislators, agency heads, staff, etc.' Description retains UK/AUS terminology unfit for US-state application.",Curation note inherited from FOCAL extraction; not yet addressed.
39,EXEMPT_GOVT_OFFICIAL_CAPACITY,C1,axis-ambiguous-name,"ID 'EXEMPT_GOVT_OFFICIAL_CAPACITY' could mean (a) exemption for officials acting in official capacity, or (b) definition exempts official-capacity activities. Description PRI B1 verbatim: 'Is there an exemption for government agencies and/or public officials acting within their official capacity?' Mild C1; description disambiguates well.",Mild.
40,EXEMPT_GOVT_PARTIAL_RELIEF,C1,axis-ambiguous-name,"ID 'PARTIAL_RELIEF' is unusual phrasing; reads as 'partial relief from what?'. Description PRI B2 verbatim resolves it.",Mild.
41,RPT_LOBBYIST_GATE,C2,description-narrower-than-rubric,"Description 'Are lobbyists required to disclose?.' (sic, with literal extra period) is verbatim PRI E2a question text. Functional but the row is a 'gate' for the entire E2 series; description doesn't communicate gate-vs-individual-field structure.",Pattern: many RPT_* rows have PRI verbatim question with stray punctuation.
42,RPT_PRINCIPAL_GATE,C2,description-narrower-than-rubric,"Description 'Are principals required to disclose?.' (sic). Same pattern as RPT_LOBBYIST_GATE.",Same pattern.
43,RPT_LOBBYIST_PRINCIPAL_NAMES,C3,cluster-asks-two-questions,"4 cross-refs: PRI E2c (lobbyist's principal names on lobbyist report), FOCAL 4.1 (full names of lobbyists/orgs), FOCAL 6.1 (Client list under Relationships), Hired Guns Q9 (identify each employer by name on registration). FOCAL 6.1 is 'Client list (for all consultant lobbyists and firms)' — a relationship-domain item different scope from per-report principal listing.",Cluster bundles report-side, registration-side, relationship-side concepts.
44,RPT_PRINCIPAL_LOBBYIST_NAMES,C3,cluster-asks-two-questions,"3 cross-refs: PRI E1c, FOCAL 4.1, FOCAL 7.4 (Number of lobbyists employed/contracted under Financials). FOCAL 7.4 is a count-of-lobbyists indicator — not a names-list disclosure question.",Cluster bundles names-disclosure with employed-count question.
45,RPT_LOBBYIST_BILL_SPECIFIC,C3,cluster-asks-two-questions,"5 cross-refs include sunlight_2015::activity (4-tier ordinal: bill+position / bill / general / nothing) and Newmark 'disc_seeking_to_influence' (broader: 'seeking to influence legislation OR administrative action'). Sunlight tier collapses bill+position; Newmark item is broader-than-bill-specific. v2 audit MERGE'd via 4-row disjunction (D17-equivalent). Cluster bundles a tier with a sub-tier and a broader item.",Same Sunlight-activity-tier pattern repeats on issue/principal variants.
46,RPT_LOBBYIST_ISSUE_GENERAL,C3,cluster-asks-two-questions,Same Sunlight-activity-tier + Newmark-broader pattern as RPT_LOBBYIST_BILL_SPECIFIC.,Same.
47,RPT_PRINCIPAL_BILL_SPECIFIC,C3,cluster-asks-two-questions,Same pattern.,Same.
48,RPT_PRINCIPAL_ISSUE_GENERAL,C3,cluster-asks-two-questions,Same pattern.,Same.
49,RPT_POSITION_TAKEN,C2,description-broader-than-rubric,"Description: 'Position taken on each bill or item lobbied (support/oppose).' Sources sunlight_2015::position_taken (the 2-point top tier of Sunlight 'Lobbyist Activity' — combines 'bill discussed AND position taken') and opheim_1991::disc_legislation_supported_opposed. Sunlight's position_taken is not a standalone — no state can have position-taken without bill-specific in Sunlight's tier system. Compendium row treats it as standalone-distinct.",C4 candidate; tier-vs-atomic split.
50,RPT_POSITION_TAKEN,C4,cross-row-overlap,"Pair with RPT_LOBBYIST_BILL_SPECIFIC. Sunlight Activity tier collapses (bill+position) into one tier; splitting into two compendium rows is a curation choice but the rows can both fire on the same statutory provision (a state requiring 'bill number AND position taken' populates BOTH).",Acceptable per curation but worth flagging.
51,RPT_LOBBYIST_COMPENSATION,C3,cluster-asks-two-questions,"9 framework_references: PRI E2f_i (boolean), Sunlight expenditure_transparency (4-tier itemization ordinal), Sunlight compensation (yes/no), Newmark disc_total_compensation, Opheim disc_total_income, Hired Guns Q13, OpenSecrets compensation, FOCAL 7.1 (Total lobbying income for consultant lobbyists/firms). Sunlight expenditure_transparency 4-tier is structurally distinct from a yes/no 'is comp disclosed?' boolean. FOCAL 7.1 is consultant-firm-side (not all lobbyists). Cluster bundles boolean with ordinal-tier and consultant-specific.",Largest cross-ref count (9).
52,RPT_PRINCIPAL_COMPENSATION,C3,cluster-asks-two-questions,"7 cross-refs include Sunlight expenditure_transparency tier and FOCAL 7.6 ('Total lobbying expenditure (both in-house and consulting)'). FOCAL 7.6 is total-expenditure (not principal-side comp specifically); Sunlight's tier is granularity (not compensation specifically). Cluster bundles principal-comp with total-expenditure with tier ordinal.",Same pattern as RPT_LOBBYIST_COMPENSATION.
53,RPT_LOBBYIST_NON_COMPENSATION,C2,description-broader-than-rubric,"Description verbatim PRI E2f_ii ('Indirect lobbying costs (non-compensation)'). References Sunlight expenditure_transparency 4-tier — applies to expenditure granularity overall, not narrowly to non-compensation. Cross-ref appears too-broad.","Sunlight tier pattern fans out across many comp/non-comp/other-costs/itemized rows."
54,RPT_PRINCIPAL_NON_COMPENSATION,C2,description-broader-than-rubric,"Same Sunlight tier pattern; also FOCAL 7.6 (Total lobbying expenditure) and FOCAL 7.7 ('Compensated/uncompensated lobbying activities'). FOCAL 7.6 + 7.7 both broader than 'principal report includes indirect costs' (PRI E1f_ii).",Same.
55,RPT_LOBBYIST_OTHER_COSTS,C3,cluster-asks-two-questions,"5 cross-refs: PRI E2f_iii (gifts/entertainment/transport/lodging), Sunlight expenditure_transparency tier (broader: itemization granularity), Newmark/Opheim disc_exp_benefitting_officials/employees (narrower scope: officials-benefitting only), Hired Guns Q23_reported (PARTIAL per D7: gift-disclosure-half only). Multi-rubric refs span partly-overlapping concepts; row aggregates.",Compounds with C2 description-broader (Sunlight tier) and Newmark narrower (officials-only).
56,RPT_PRINCIPAL_OTHER_COSTS,C3,cluster-asks-two-questions,"8 cross-refs (largest after RPT_LOBBYIST_COMPENSATION). Same multi-rubric scope-mismatch as RPT_LOBBYIST_OTHER_COSTS plus FOCAL 7.6/7.10. FOCAL 7.10 is 'Expenditures benefiting public officials or employees including financial/non-financial gifts and support, employer/principal on whose behalf expenses were made' — an itemized-benefit-recipient question that arguably belongs at RPT_ITEMIZED_RECIPIENT or RPT_HOUSEHOLD_OF_OFFICIAL_SPENDING.",FOCAL 7.10 fans across multiple rows.
57,RPT_PRINCIPAL_FINANCIAL_CONTRIBUTORS,C3,cluster-asks-two-questions,"5 framework_references: PRI E1j (principal-side major contributors disclosure), FOCAL 6.2 (Names of all sponsors or members), FOCAL 7.3 (Income sources eg including government agencies, grant-making foundations, companies), Newmark disc_contribs_received, Opheim disc_other_influence_peddling. v2 audit D6 explicitly classified Opheim cross-ref as 'too vague to commit to a single row' and folded as 'closest existing match' — concrete C3 evidence.",Appears to revisit D6.
58,RPT_PRINCIPAL_FINANCIAL_CONTRIBUTORS,C2,description-misscoped,"Beyond cluster: PRI E1j is principal-side and asks 'major financial contributors'. Folding Opheim 'other influence peddling' (D6 borderline) is a misscoping — Opheim's catch-all is structurally a different question (influence-peddling activities) than 'who funds the principal'. Also FOCAL 7.3 is broader (income sources).",Reaffirms D6 borderline call.
59,RPT_PRINCIPAL_FINANCIAL_CONTRIBUTORS,other-issue,other-issue,"Notes field on row says 'No clean LobbyingFiling field today; would surface as a separate financial_contributors[] disclosure if added.' Architectural note about LobbyingFiling schema, not a curation issue per se — but worth flagging that downstream filing-extraction shape isn't ironed out.",Architectural; not Phase 1 curation.
60,FREQ_LOBBYIST_MONTHLY,C3,cluster-asks-two-questions,"References include newmark_2005::freq_binary, opheim_1991::freq_binary, opensecrets_2022::timely_disclosure (compound freq schedule). Newmark/Opheim freq_binary is 'monthly during session OR (monthly both in/out)' as single binary — they don't separately ask about pure 'monthly'. The MERGE expression in dedup-map handles via disjunction across cadence rows. Storing freq_binary cross-ref directly on each cadence row arguably misattributes.",Same pattern across other FREQ_*_* cadence rows.
61,FREQ_LOBBYIST_QUARTERLY,C3,cluster-asks-two-questions,Same freq_binary cross-ref pattern.,Same.
62,FREQ_LOBBYIST_TRI_ANNUAL,C3,cluster-asks-two-questions,Same freq_binary cross-ref pattern.,Same.
63,FREQ_LOBBYIST_SEMI_ANNUAL,C3,cluster-asks-two-questions,Same freq_binary cross-ref pattern.,Same.
64,FREQ_PRINCIPAL_MONTHLY,C3,cluster-asks-two-questions,Same freq_binary + OpenSecrets timely_disclosure cross-ref pattern.,Same.
65,FREQ_PRINCIPAL_QUARTERLY,C3,cluster-asks-two-questions,Same pattern.,Same.
66,FREQ_LOBBYIST_OTHER,C1,axis-ambiguous-name,"ID 'FREQ_LOBBYIST_OTHER' (free-text catch-all). 'OTHER' alone in ID doesn't signal 'free-text catch-all for cadences not enumerated above'.",Mild.
67,FREQ_PRINCIPAL_OTHER,C1,axis-ambiguous-name,Same as FREQ_LOBBYIST_OTHER.,Same.
68,RPT_OFFICIAL_DIARY_DISCLOSURE,C5,wrong-domain,"Row sits in domain='contact_log' but FOCAL 2.3 source ('Ministerial diaries are disclosed monthly (or more frequently)') is in FOCAL Timeliness category, not Contact log. Description is about cadence/freshness; closer fit is accessibility (timeliness). Pairs with ACC_DIARIES_ONLINE which is in accessibility.",Possible cross-row C4 with ACC_DIARIES_ONLINE.
69,RPT_OFFICIAL_DIARY_DISCLOSURE,C4,cross-row-overlap,"Pair with ACC_DIARIES_ONLINE: both about lobbyist/official diaries; one in contact_log (FOCAL 2.3 monthly cadence) one in accessibility (FOCAL 3.2 online availability). The two rows could plausibly fire on the same statutory provision.",Cross-domain pair.
70,ACC_DIARIES_ONLINE,C4,cross-row-overlap,Pair with RPT_OFFICIAL_DIARY_DISCLOSURE.,Same.
71,ACC_DEDICATED_WEBSITE,C3,cluster-asks-two-questions,"5 cross-refs: PRI Q2 (dedicated lobbying website), FOCAL 3.1 (Lobbyist register is online), Hired Guns Q28 (online registration filing), Hired Guns Q29 (online spending reporting), OpenSecrets public_lists. Q28/Q29 are about *filing online* (lobbyist/employer can submit forms via internet) — narrower/different than 'state has dedicated website for lobbying info'.",Cluster bundles three distinct concepts: 'website exists', 'online filing', 'online lists/registry'.
72,ACC_DEDICATED_WEBSITE,C2,description-narrower-than-rubric,"Description 'The state has a dedicated website for lobbying information.' covers website-existence question only; cross-refs to Hired Guns Q28+Q29 are about online filing (different question).",Compounds with C3 cluster.
73,ACC_DOWNLOAD_ANALYSIS_READY,C3,cluster-asks-two-questions,"7 cross-refs: PRI Q6 (downloadable in usable format), FOCAL 3.3 (compound: no registration, free, open license, non-proprietary, machine readable), FOCAL 3.4 (downloadable as files), Sunlight document_accessibility (4-tier form access), Hired Guns Q31 (registrations format 4-tier), Hired Guns Q32 (spending reports format 4-tier), OpenSecrets public_download. FOCAL 3.3 explicitly flagged in focal_2024_indicators.csv as 'Compound indicator: five sub-conditions ... Scoring may require decomposition.' The cross-ref aggregation papers over a known-decomposable indicator.",Highest cross-ref count among accessibility rows.
74,ACC_DATA_AVAILABLE_AT_ALL,C2,description-misscoped,"Description: 'At least some lobbying data available (in any format) either by request (email, telephone, fax, etc.) or anonymously (web-based).' References include sunlight_2015::document_accessibility which Sunlight defines as 'Form Accessibility' (a 4-tier ordinal about whether *forms* — registration/expenditure forms — can be accessed online), not whether *lobbying data* is available. Different scope.",Sunlight's tier is form-availability, not data-availability.
75,ACC_MULTI_CRITERIA_SORT,C3,cluster-asks-two-questions,"4 cross-refs: PRI Q8, FOCAL 3.5, Sunlight document_accessibility (form-access tier), OpenSecrets public_search. Sunlight's tier is form-access, not multi-criteria-sort. Mismatched cross-ref.",Same Sunlight tier mismatch.
76,REG_BILL_SUBJECT_ON_REGISTRATION,C4,cross-row-overlap,"Pair with RPT_LOBBYIST_BILL_SPECIFIC / RPT_LOBBYIST_ISSUE_GENERAL. CPI Q5 is 'Bill/subject required on registration form'; the RPT_*_BILL_SPECIFIC / *_ISSUE_GENERAL rows are about bill/subject on *spending reports*. Different filing types but conceptually overlapping; the harness could plausibly populate both rows when a state's statute is structured as 'bill numbers required on all filings'.",REG_ vs RPT_ prefixes do help distinguish but the bill/subject substance overlaps.
77,RPT_LOBBYIST_PRINCIPAL_NAMES,C4,cross-row-overlap,"Pair with REG_LOBBYIST: REG_LOBBYIST is registration-side ('lobbyist must register' which implicitly requires identifying principals); RPT_LOBBYIST_PRINCIPAL_NAMES is per-report 'list of principals'. In states where the registration form itself includes the principal list, a single statutory provision populates both rows.",Filing-level vs report-level distinction not in IDs.
78,RPT_LOBBYIST_PRINCIPAL_CONTACT,other-issue,other-issue,"Notes field acknowledges architectural tension: 'Lobbyist contact info is on the registration record, not the principal's filing.' Row is in reporting domain but the data lives on registration. Compounds the C4 risk that REG_*-side and RPT_*-side rows overlap.",Architectural; surface to Phase 1.
79,REG_SEPARATE_LOBBYIST_CLIENT_FILINGS,C2,description-broader-than-rubric,"Description: 'State requires the client/principal to file a registration independently (cleaner data architecture) rather than embedding client identification within the lobbyist's registration.' OpenSecrets source 'lobbyist_client_separate' is per-paper a 5-tier scoring scale (separate filings / joint / client-only / etc.). Compendium row is boolean — narrower than the 5-tier scale.",Source-tier-info lost in boolean.
80,RPT_EXPENDITURE_FORMAT_GRANULARITY,C2,description-narrower-than-rubric,"Description: 'Expenditure format granularity.' Three-word terse description. Sources include sunlight_2015::expenditure_format_granularity (a 4-tier ordinal: itemized w/dates+desc / categorized / lump / none). Row data_type is categorical. The 4-tier scale isn't enumerated in the description.",Categorical row should enumerate categories.
81,FREQ_LOBBYIST_ANNUAL,C2,description-narrower-than-rubric,"Description: 'Reporting frequency option: Annually.' Direction unclear — does 'option' mean state allows annual reporting, requires it, or merely that annual is an option among several? PRI E2h_v: 'reporting frequency: annually' — also direction-ambiguous. The boolean's semantics ('this state's lobbyist reporting cadence allows annual filing') is implicit.",Pattern across all FREQ_*_* rows; description style inherits PRI E1h/E2h sub-item shape.
82,FREQ_LOBBYIST_OTHER,C2,description-narrower-than-rubric,Same FREQ_* pattern.,Same.
83,FREQ_LOBBYIST_TRI_ANNUAL,C2,description-narrower-than-rubric,Same FREQ_* pattern.,Same.
84,FREQ_LOBBYIST_SEMI_ANNUAL,C2,description-narrower-than-rubric,Same FREQ_* pattern.,Same.
85,FREQ_LOBBYIST_QUARTERLY,C2,description-narrower-than-rubric,Same FREQ_* pattern.,Same.
86,FREQ_LOBBYIST_MONTHLY,C2,description-narrower-than-rubric,Same FREQ_* pattern.,Same.
87,FREQ_PRINCIPAL_ANNUAL,C2,description-narrower-than-rubric,Same FREQ_* pattern.,Same.
88,FREQ_PRINCIPAL_OTHER,C2,description-narrower-than-rubric,Same FREQ_* pattern.,Same.
89,FREQ_PRINCIPAL_TRI_ANNUAL,C2,description-narrower-than-rubric,Same FREQ_* pattern.,Same.
90,FREQ_PRINCIPAL_SEMI_ANNUAL,C2,description-narrower-than-rubric,Same FREQ_* pattern.,Same.
91,FREQ_PRINCIPAL_QUARTERLY,C2,description-narrower-than-rubric,Same FREQ_* pattern.,Same.
92,FREQ_PRINCIPAL_MONTHLY,C2,description-narrower-than-rubric,Same FREQ_* pattern.,Same.
93,RPT_LOBBYIST_CONTACTS_LOGGED,C2,description-narrower-than-rubric,"Description verbatim PRI E2i: 'Are lobbyists required to disclose contacts?.' (sic). Notes field clarifies gate semantics ('Gate item: presence of any engagement entry = contacts disclosed') but description doesn't reflect that gate framing.",PRI-verbatim with stray period.
94,RPT_PRINCIPAL_CONTACTS_LOGGED,C2,description-narrower-than-rubric,Same PRI E1i pattern.,Same.
95,PARITY_GOVT_AS_LOBBYIST,C2,description-narrower-than-rubric,Description verbatim PRI B3 plus stray period.,Same PRI-verbatim style.
96,PARITY_GOVT_AS_PRINCIPAL,C2,description-narrower-than-rubric,Description verbatim PRI B4 plus stray period.,Same.
97,RPT_LOBBYIST_PRINCIPAL_NATURE,C2,rubric-source-ambiguous,"Description PRI E2e: 'Are lobbyists required to disclose the nature of the principal's business (public or private)?' is direction-ambiguous: 'public/private' could mean public-vs-private-sector OR public-disclosure-status. PRI 2010's coding context suggests sector (public-sector vs private-sector). Mild.",Mild.
98,RPT_LOBBYIST_CONTRACT_TYPE,C2,description-narrower-than-rubric,"Description: 'Type of lobbyist contract (eg, salaried staff, contracted).' (FOCAL 4.6 verbatim). References Hired Guns Q10 which is broader: 'compensated/non-compensated, salaried/contracted on registration'. FOCAL is narrower (contract type only); Q10 is two-axis (compensation status + contract type).",Mild.
99,FIN_INCOME_PER_CLIENT,C3,cluster-asks-two-questions,"4 cross-refs: FOCAL 7.2 (income per client), Newmark/Opheim 'disc_comp_by_employer' / 'disc_sources_of_income'. Newmark item is 'compensation broken down by employer' — closely aligned. Opheim 'sources of income' is broader (could include all income sources, not lobbying-only).",Mild cluster cohesion concern.
100,ACC_AGGREGATE_TOTALS_BY_DEADLINE,C1,axis-ambiguous-name,"ID 'BY_DEADLINE' is unusual; CPI Q36 is 'Aggregate spending broken down by reporting deadline' (showing aggregate spent in each filing period). The ID could read as 'by missed deadline' or 'by upcoming deadline'.",Mild.
