item_id,category,item_text,data_type,source,scoring_direction,scoring_guidance,notes
Q7l,Sorting data — by designated entity,Can users specify data searches by designated entities (official/body the lobbyist is engaging).,binary,pri_2010_kept,normal,"Score 1 if users can filter by target entity (committee; agency; legislator).",
Q7m,Sorting data — by legal status,"Can users specify data searches by legal status of the principal (government; non-profit; for-profit).",binary,pri_2010_kept,normal,"Score 1 if users can filter by principal legal-status category.",
Q7n,Sorting data — by sector,"Can users specify data searches by sector (transport; energy; banking; education; etc.).",binary,pri_2010_kept,normal,"Score 1 if users can filter by sector.",
Q7o,Sorting data — by sub-sector,"Can users specify data searches by sub-sector (K–12; secondary; vocational; etc.).",binary,pri_2010_kept,normal,"Score 1 if users can filter by sub-sector.",
Q8,Simultaneous sorting,Users can simultaneously sort lobbying data by multiple criteria (combine 2+ Q7 filters in a single query).,ordinal_0_to_15,pri_2010_kept,normal,"Raw score = count of Q7 sub-criteria that can be combined in a single query (0–15). Normalize by /15 to produce 0–1 sub-score at scoring time.",PRI 2010 never specified how to arrive at the 0–15 raw score; 2026 guidance = count of Q7 sub-criteria combinable in one search.
Q9a,Download sort results — by principal,"For Q7a filter results, can the filtered/sorted dataset be downloaded?",binary,new_2026,normal,"Score 1 if a filter-by-principal search returns a downloadable result set (not just a viewable page).",
Q9b,Download sort results — by principal location,"For Q7b filter results, can the filtered/sorted dataset be downloaded?",binary,new_2026,normal,"Score 1 if a filter-by-principal-location search returns a downloadable result set.",
Q9c,Download sort results — by lobbyist name,"For Q7c filter results, can the filtered/sorted dataset be downloaded?",binary,new_2026,normal,"Score 1 if a filter-by-lobbyist-name search returns a downloadable result set.",
Q9d,Download sort results — by lobbyist location,"For Q7d filter results, can the filtered/sorted dataset be downloaded?",binary,new_2026,normal,"Score 1 if a filter-by-lobbyist-location search returns a downloadable result set.",
Q9e,Download sort results — by date,"For Q7e filter results, can the filtered/sorted dataset be downloaded?",binary,new_2026,normal,"Score 1 if a date-filtered search returns a downloadable result set.",
Q9f,Download sort results — by period,"For Q7f filter results, can the filtered/sorted dataset be downloaded?",binary,new_2026,normal,"Score 1 if a period-filtered search returns a downloadable result set.",
Q9g,Download sort results — by total expenditures,"For Q7g filter results, can the filtered/sorted dataset be downloaded?",binary,new_2026,normal,"Score 1 if a total-expenditure-filtered search returns a downloadable result set.",
Q9h,Download sort results — by compensation,"For Q7h filter results, can the filtered/sorted dataset be downloaded?",binary,new_2026,normal,"Score 1 if a compensation-filtered search returns a downloadable result set.",
Q9i,Download sort results — by misc expenses,"For Q7i filter results, can the filtered/sorted dataset be downloaded?",binary,new_2026,normal,"Score 1 if a misc-expenses-filtered search returns a downloadable result set.",
Q9j,Download sort results — by funding source,"For Q7j filter results, can the filtered/sorted dataset be downloaded?",binary,new_2026,normal,"Score 1 if a funding-source-filtered search returns a downloadable result set.",
Q9k,Download sort results — by subject,"For Q7k filter results, can the filtered/sorted dataset be downloaded?",binary,new_2026,normal,"Score 1 if a subject-filtered search returns a downloadable result set.",
Q9l,Download sort results — by designated entity,"For Q7l filter results, can the filtered/sorted dataset be downloaded?",binary,new_2026,normal,"Score 1 if a designated-entity-filtered search returns a downloadable result set.",
Q9m,Download sort results — by legal status,"For Q7m filter results, can the filtered/sorted dataset be downloaded?",binary,new_2026,normal,"Score 1 if a legal-status-filtered search returns a downloadable result set.",
Q9n,Download sort results — by sector,"For Q7n filter results, can the filtered/sorted dataset be downloaded?",binary,new_2026,normal,"Score 1 if a sector-filtered search returns a downloadable result set.",
Q9o,Download sort results — by sub-sector,"For Q7o filter results, can the filtered/sorted dataset be downloaded?",binary,new_2026,normal,"Score 1 if a sub-sector-filtered search returns a downloadable result set.",
Q10,Bulk download,The complete dataset (all lobbying disclosures for a time range) is downloadable as a single file or small set of files — not just per-record or per-search.,binary,new_2026,normal,"Score 1 if the portal offers a bulk export (e.g., ""download all 2025 filings"" as one/few CSV/JSON files). Per-record PDF downloads do NOT satisfy Q10; neither does a per-search download (Q9). Evidence = URL of bulk-export link.",Captures the ""can you actually get all the data"" dimension separate from per-search export (Q9).
Q11,Open API,Documented programmatic API is available for querying lobbying data without payment.,binary,new_2026,normal,"Score 1 if the portal publishes API documentation and access is free (free API keys or no key required). Paid-only APIs score 0. Undocumented JSON endpoints discovered by inspection score 0. Evidence = URL of API docs.",Rate-limit severity recorded as a note but does not by itself zero out the score.
Q12,No authentication barrier,No portion of lobbying disclosure data is gated behind login; paywall; or attestation.,binary,new_2026,reverse,"REVERSE-SCORED. Score 1 if ALL data is accessible without authentication. Score 0 if ANY disclosure data requires login; registration; payment; or click-through attestation. Evidence = URL of gated content (if score=0) or confirmation of open access (if score=1).","Structurally analogous to reverse-scored B1/B2 in the disclosure-law rubric."
Q13a,Data dictionary — lobbyist name field,"Does the portal publish a data dictionary documenting the ""lobbyist name"" field (definition; type; format; allowed values)?",binary,new_2026,normal,"Score 1 if the portal or linked docs define this field's meaning and format. Inline column headers alone do NOT count.",Q13 sub-item. PRI E-union field.
Q13b,Data dictionary — lobbyist address field,"Does the portal publish a data dictionary documenting the ""lobbyist address"" field?",binary,new_2026,normal,"Score 1 if defined in the data dictionary; 0 otherwise.",Q13 sub-item. PRI E-union field.
Q13c,Data dictionary — lobbyist phone field,"Does the portal publish a data dictionary documenting the ""lobbyist phone"" field?",binary,new_2026,normal,"Score 1 if defined in the data dictionary; 0 otherwise.",Q13 sub-item. PRI E-union field.
Q13d,Data dictionary — principal name field,"Does the portal publish a data dictionary documenting the ""principal name"" field?",binary,new_2026,normal,"Score 1 if defined in the data dictionary; 0 otherwise.",Q13 sub-item. PRI E-union field.
Q13e,Data dictionary — principal address field,"Does the portal publish a data dictionary documenting the ""principal address"" field?",binary,new_2026,normal,"Score 1 if defined in the data dictionary; 0 otherwise.",Q13 sub-item. PRI E-union field.
Q13f,Data dictionary — principal phone field,"Does the portal publish a data dictionary documenting the ""principal phone"" field?",binary,new_2026,normal,"Score 1 if defined in the data dictionary; 0 otherwise.",Q13 sub-item. PRI E-union field.
Q13g,Data dictionary — principal business nature field,"Does the portal publish a data dictionary documenting the ""nature of principal's business"" (public/private) field?",binary,new_2026,normal,"Score 1 if defined in the data dictionary; 0 otherwise.",Q13 sub-item. PRI E-union field.
Q13h,Data dictionary — direct lobbying cost field,"Does the portal publish a data dictionary documenting the ""direct lobbying cost (compensation)"" field?",binary,new_2026,normal,"Score 1 if defined in the data dictionary; 0 otherwise.",Q13 sub-item. PRI E-union field.
Q13i,Data dictionary — indirect lobbying cost field,"Does the portal publish a data dictionary documenting the ""indirect lobbying cost (non-compensation)"" field?",binary,new_2026,normal,"Score 1 if defined in the data dictionary; 0 otherwise.",Q13 sub-item. PRI E-union field.
Q13j,Data dictionary — other costs field,"Does the portal publish a data dictionary documenting the ""other costs (gifts; entertainment; transportation; lodging)"" field?",binary,new_2026,normal,"Score 1 if defined in the data dictionary; 0 otherwise.",Q13 sub-item. PRI E-union field.
Q13k,Data dictionary — general issues field,"Does the portal publish a data dictionary documenting the ""general issues lobbied"" field?",binary,new_2026,normal,"Score 1 if defined in the data dictionary; 0 otherwise.",Q13 sub-item. PRI E-union field.
Q13l,Data dictionary — bill/legislation ID field,"Does the portal publish a data dictionary documenting the ""specific bill number / legislation ID"" field?",binary,new_2026,normal,"Score 1 if defined in the data dictionary; 0 otherwise.",Q13 sub-item. PRI E-union field.
Q13m,Data dictionary — contacts field,"Does the portal publish a data dictionary documenting the ""contacts disclosed"" field?",binary,new_2026,normal,"Score 1 if defined in the data dictionary; 0 otherwise.",Q13 sub-item. PRI E-union field.
Q13n,Data dictionary — financial contributors field,"Does the portal publish a data dictionary documenting the ""principal financial contributors"" field?",binary,new_2026,normal,"Score 1 if defined in the data dictionary; 0 otherwise.",Q13 sub-item. PRI E-union field.
Q13o,Record unique ID,"Each filing/record has a stable; machine-readable unique ID that persists across portal redesigns.",binary,new_2026,normal,"Score 1 if records expose a canonical ID field (e.g., filing_id) that is stable and documented. IDs that are session-bound or change across portal updates score 0.",Q13 sub-item; record-level identifier per user direction (machine-readable IDs folded into Q13).
Q14,Persistent record URLs,Each individual filing/record has a stable canonical URL that survives portal redesigns.,binary,new_2026,normal,"Score 1 if records are addressable at a stable URL documented or observably persistent. Session-token URLs or AJAX-only views score 0. Evidence = example URL.",
Q15,Raw filing access,The original filed documents (typically PDFs) are retrievable — not only the parsed/extracted field values.,binary,new_2026,normal,"Score 1 if the portal exposes the original filed document alongside or linked from the structured record. Evidence = URL of a raw filing.",Important because parsing errors in portal extraction can silently corrupt downstream analysis.
Q16a,Last-updated timestamp present,The portal displays a visible ""last updated"" timestamp for the data.,binary,new_2026,normal,"Score 1 if a ""last updated"" or ""data current as of"" timestamp is visible on the landing or data page. Evidence = URL and quoted timestamp.",
Q16b,Data freshness,"The data is genuinely current — filings from the current reporting period (per the state's cadence) are present.",binary,new_2026,normal,"Score 1 if the most recent filing date observed is within one filing cadence of the score date (e.g., if state requires quarterly filing; most recent filing ≤90 days old). Document most-recent-filing date as evidence.",Captures the failure mode where a portal claims to be up-to-date but actually hasn't ingested recent filings.
