paper,indicator_id,indicator_text,section
HiredGuns,Q36,state agency provides an overall lobbying spending total by spending-report deadlines,Public Access
HiredGuns,Q37,state agency provides an overall lobbying spending total by industries lobbyists represent,Public Access
HiredGuns,Q38,frequency: lobby lists updated,Public Access
HiredGuns,Q39,state has statutory auditing authority,Enforcement
HiredGuns,Q40,state agency conducts mandatory reviews or audits,Enforcement
HiredGuns,Q41,statutory penalty for late filing of lobby registration form,Enforcement
HiredGuns,Q42,statutory penalty for late filing of a lobby spending report,Enforcement
HiredGuns,Q43,a penalty for late filing of a lobby spending report last levied,Enforcement
HiredGuns,Q44,statutory penalty for incomplete filing of a lobby registration form,Enforcement
HiredGuns,Q45,statutory penalty for incomplete filing of a lobby spending report,Enforcement
HiredGuns,Q46,a penalty for incomplete filing of a lobby spending report last levied,Enforcement
HiredGuns,Q47,state publishes a list of delinquent filers either on the Web or in a printed document,Enforcement
HiredGuns,Q48,cooling-off period before legislators can register as lobbyists,Revolving Door Provision
Newmark2005,def_legislative_lobbying,legislative lobbying,definitions
Newmark2005,def_administrative_agency_lobbying,administrative agency lobbying,definitions
Newmark2005,def_elected_officials_as_lobbyists,elected officials as lobbyists,definitions
Newmark2005,def_public_employees_as_lobbyists,public employees as lobbyists,definitions
Newmark2005,def_compensation_standard,compensation standard,definitions
Newmark2005,def_expenditure_standard,expenditure standard,definitions
Newmark2005,def_time_standard,time standard,definitions
Newmark2005,freq_reporting_more_than_annual,frequency of reporting (more frequently than once per year),frequency of reporting
Newmark2005,prohib_campaign_contrib_any_time,campaign contributions at any time,prohibited activities
Newmark2005,prohib_campaign_contrib_during_session,campaign contributions during the legislative session,prohibited activities
Newmark2005,prohib_expenditures_over_threshold,expenditures in excess of a certain dollar amount per year,prohibited activities
Newmark2005,prohib_solicitation_by_officials,solicitation by officials or employees for contributions or gifts,prohibited activities
Newmark2005,disc_legislative_admin_action_to_influence,legislative/administrative action seeking to influence,disclosure requirements
Newmark2005,disc_expenditures_benefiting_officials,expenditures benefiting public officials or employees,disclosure requirements
Newmark2005,disc_compensation_by_employer,compensation received broken down by employers,disclosure requirements
Newmark2005,disc_total_compensation,total compensation received,disclosure requirements
Newmark2005,disc_categories_of_expenditures,categories of expenditures,disclosure requirements
Newmark2005,disc_total_expenditures,total expenditures,disclosure requirements
Newmark2017,def.legislative_lobbying,Legislative lobbying (registration trigger),Definitions of lobbyists and registration requirements
Newmark2017,def.administrative_agency_lobbying,Administrative agency lobbying (registration trigger),Definitions of lobbyists and registration requirements
Newmark2017,def.elective_officials_as_lobbyists,Elective officials (lobbyist definition),Definitions of lobbyists and registration requirements
Newmark2017,def.public_employees_as_lobbyists,Public employees (lobbyist definition),Definitions of lobbyists and registration requirements
Newmark2017,def.compensation_standard,Compensation (lobbyist threshold),Definitions of lobbyists and registration requirements
Newmark2017,def.expenditure_standard,Expenditure (lobbyist threshold),Definitions of lobbyists and registration requirements
Newmark2017,def.time_standard,Time (lobbyist threshold),Definitions of lobbyists and registration requirements
Newmark2017,prohib.contributions_anytime,making campaign contributions at any time (prohibited),Prohibited activities
Newmark2017,prohib.contributions_during_session,making campaign contributions during legislative sessions (prohibited),Prohibited activities
Newmark2017,prohib.solicitation_by_officials,Solicitation by officials or employees for contributions or gifts (prohibited),Prohibited activities
Newmark2017,prohib.contingent_compensation,Contingent compensation (prohibited),Prohibited activities
Newmark2017,prohib.revolving_door,revolving door restrictions,Prohibited activities
Newmark2017,disclosure.influence_legislation_or_admin,seeking to influence legislation or administrative action (disclosure),Registration and reporting/disclosure requirements
Newmark2017,disclosure.expenditures_benefiting_officials,expenditures benefiting public officials or employees (disclosure),Registration and reporting/disclosure requirements
Newmark2017,disclosure.compensation_by_employer,compensation received broken down by employer (disclosure),Registration and reporting/disclosure requirements
Newmark2017,disclosure.total_compensation,total compensation received (disclosure),Registration and reporting/disclosure requirements
Newmark2017,disclosure.categories_of_expenditures,categories of expenditures (disclosure),Registration and reporting/disclosure requirements
Newmark2017,disclosure.total_expenditures,total expenditures toward lobbying (disclosure),Registration and reporting/disclosure requirements
Newmark2017,disclosure.contributions_from_others,contributions received from others for lobbying purposes (disclosure),Registration and reporting/disclosure requirements
OpenSecrets,lobbyist_client_disclosure,"lobbying and who is paying for it (lobbyist and client identification, with separate registrations preferred)",1. Who is lobbying and who is paying for it?
OpenSecrets,lobbyist_compensation_disclosure,lobbyists getting paid (compensation paid to lobbyists by clients),2. How much are lobbyists getting paid?
OpenSecrets,timely_disclosure,timely disclosure (frequency/timing of lobbying activity reports),3. Is there timely disclosure?
OpenSecrets,public_availability_total,"public access to disclosed information (composite of three sub-facets, total 5 points)",4. How easily can the public access disclosed information?
OpenSecrets,public_avail_search,User-friendly search feature on state lobbying disclosure website,4. How easily can the public access disclosed information? (sub-facet a)
OpenSecrets,public_avail_downloads,Availability of downloadable data from the state lobbying disclosure website,4. How easily can the public access disclosed information? (sub-facet b)
OpenSecrets,public_avail_lists,Easily accessible lists of registered lobbyists and clients,4. How easily can the public access disclosed information? (sub-facet c)
Opheim,def.legislative_lobbying,legislative lobbying (definition criterion),Statutory definition of a lobbyist
Opheim,def.administrative_lobbying,administrative lobbying (definition criterion),Statutory definition of a lobbyist
Opheim,def.elective_officials,elective officials (lobbyist designation),Statutory definition of a lobbyist
Opheim,def.public_employees,public employees (lobbyist designation),Statutory definition of a lobbyist
Opheim,def.compensation_standard,compensation (lobbyist threshold),Statutory definition of a lobbyist
Opheim,def.expenditure_standard,expenditure (lobbyist threshold),Statutory definition of a lobbyist
Opheim,def.time_standard,time (lobbyist threshold),Statutory definition of a lobbyist
Opheim,disclosure.frequency,Frequency of reporting required of lobbyists,Frequency and quality of disclosure
Opheim,disclosure.total_spending,lobbyist's total spending,Frequency and quality of disclosure
Opheim,disclosure.spending_by_category,spending by category,Frequency and quality of disclosure
Opheim,disclosure.expenditures_benefitting_public_employees,expenditures benefitting public employees including gifts,Frequency and quality of disclosure
Opheim,disclosure.legislation_supported_or_opposed,legislation approved or opposed by the lobbyist,Frequency and quality of disclosure
Opheim,disclosure.sources_of_income,sources of income,Frequency and quality of disclosure
Opheim,disclosure.total_income,total income,Frequency and quality of disclosure
Opheim,disclosure.other_influence_peddling_or_conflict_of_interest,other activities that might constitute influence peddling or conflict of interest,Frequency and quality of disclosure
Opheim,enforce.thoroughness_of_reviews,thoroughness of reviews of lobby reports by oversight agency,Oversight and enforcement of regulations
Opheim,enforce.subpoena_witnesses,whether the agency may subpoena witnesses,Oversight and enforcement of regulations
Opheim,enforce.subpoena_records,subpoena records,Oversight and enforcement of regulations
Opheim,enforce.conduct_administrative_hearings,conduct administrative hearings,Oversight and enforcement of regulations
Opheim,enforce.impose_administrative_fines,impose administrative fines,Oversight and enforcement of regulations
Opheim,enforce.impose_administrative_penalties,impose administrative penalties,Oversight and enforcement of regulations
Opheim,enforce.file_independent_court_actions,file independent court actions,Oversight and enforcement of regulations
Sunlight,lobbyist_activity,Lobbyist Activity,Lobbyist Activity
Sunlight,expenditure_transparency,Expenditure Transparency,Expenditure Transparency
Sunlight,expenditure_reporting_thresholds,Expenditure Reporting Thresholds,Expenditure Reporting Thresholds
Sunlight,document_accessibility,Document Accessibility,Document Accessibility
Sunlight,lobbyist_compensation,Lobbyist Compensation,Lobbyist Compensation
