item_id,sub_component,item_text,data_type,source,scoring_direction,scoring_guidance,notes
E1h_iii,E1. Principal Reports,Reporting frequency option: Tri-annually (linked with legislative calendar).,binary,pri_2010_kept,normal,Score 1 if yes; 0 otherwise.,PRI 2010 §III.E1.h.
E1h_iv,E1. Principal Reports,Reporting frequency option: Semi-annually.,binary,pri_2010_kept,normal,Score 1 if yes; 0 otherwise.,PRI 2010 §III.E1.h.
E1h_v,E1. Principal Reports,Reporting frequency option: Annually.,binary,pri_2010_kept,normal,Score 1 if yes; 0 otherwise.,PRI 2010 §III.E1.h.
E1h_vi,E1. Principal Reports,Reporting frequency option: Other (free-text).,text,pri_2010_kept,normal,Capture raw value as observed.,PRI 2010 §III.E1.h.
E1i,E1. Principal Reports,Are principals required to disclose contacts?,binary,pri_2010_kept,normal,Score 1 if yes; 0 otherwise.,PRI 2010 §III.E1.i. Footnote 90 in source.
E1j,E1. Principal Reports,Are principals required to disclose major financial contributors?,binary,pri_2010_kept,normal,Score 1 if yes; 0 otherwise.,"PRI 2010 §III.E1.j. Per paper §III.E intro: scored independently of the rest of E (this is ""question J"" referenced in the text)."
E2a,E2. Lobbyist Disclosure,Are lobbyists required to disclose?,binary,pri_2010_kept,normal,Score 1 if yes; 0 otherwise.,PRI 2010 §III.E2. Gate question for the rest of E2.
E2b,E2. Lobbyist Disclosure,Are lobbyists required to disclose their address and phone number?,binary,pri_2010_kept,normal,Score 1 if yes; 0 otherwise.,PRI 2010 §III.E2.
E2c,E2. Lobbyist Disclosure,Are lobbyists required to disclose the names of all the principals represented?,binary,pri_2010_kept,normal,Score 1 if yes; 0 otherwise.,PRI 2010 §III.E2.
E2d,E2. Lobbyist Disclosure,Are lobbyists required to disclose the address and phone number of the principals represented?,binary,pri_2010_kept,normal,Score 1 if yes; 0 otherwise.,PRI 2010 §III.E2.
E2e,E2. Lobbyist Disclosure,Are lobbyists required to disclose the nature of the principal's business (public or private)?,binary,pri_2010_kept,normal,Score 1 if yes; 0 otherwise.,PRI 2010 §III.E2.
E2f_i,E2. Lobbyist Disclosure,Required component of disclosure report: Direct lobbying costs (compensation).,binary,pri_2010_kept,normal,Score 1 if yes; 0 otherwise.,PRI 2010 §III.E2.f.
E2f_ii,E2. Lobbyist Disclosure,Required component of disclosure report: Indirect lobbying costs (non-compensation).,binary,pri_2010_kept,normal,Score 1 if yes; 0 otherwise.,PRI 2010 §III.E2.f.
E2f_iii,E2. Lobbyist Disclosure,"Required component of disclosure report: Other costs such as gifts, entertainment, transportation, and lodging.",binary,pri_2010_kept,normal,Score 1 if yes; 0 otherwise.,PRI 2010 §III.E2.f.
E2f_iv,E2. Lobbyist Disclosure,Is the information disclosed in an itemized format (as opposed to an aggregated or lump-sum amount)?,binary,pri_2010_kept,normal,Score 1 if yes; 0 otherwise.,PRI 2010 §III.E2.f.
E2g_i,E2. Lobbyist Disclosure,Are lobbyists required to disclose information on the issue lobbied by the general issues lobbied?,binary,pri_2010_kept,normal,Score 1 if yes; 0 otherwise.,PRI 2010 §III.E2.g.
E2g_ii,E2. Lobbyist Disclosure,Are lobbyists required to disclose information on the issue lobbied by the specific bill number or legislation ID?,binary,pri_2010_kept,normal,Score 1 if yes; 0 otherwise.,PRI 2010 §III.E2.g.
E2h_i,E2. Lobbyist Disclosure,Reporting frequency option: Monthly.,binary,pri_2010_kept,normal,Score 1 if yes; 0 otherwise.,PRI 2010 §III.E2.h.
E2h_ii,E2. Lobbyist Disclosure,Reporting frequency option: Quarterly.,binary,pri_2010_kept,normal,Score 1 if yes; 0 otherwise.,PRI 2010 §III.E2.h.
E2h_iii,E2. Lobbyist Disclosure,Reporting frequency option: Tri-annually (linked with legislative calendar).,binary,pri_2010_kept,normal,Score 1 if yes; 0 otherwise.,PRI 2010 §III.E2.h.
E2h_iv,E2. Lobbyist Disclosure,Reporting frequency option: Semi-annually.,binary,pri_2010_kept,normal,Score 1 if yes; 0 otherwise.,PRI 2010 §III.E2.h.
E2h_v,E2. Lobbyist Disclosure,Reporting frequency option: Annually.,binary,pri_2010_kept,normal,Score 1 if yes; 0 otherwise.,PRI 2010 §III.E2.h.
E2h_vi,E2. Lobbyist Disclosure,Reporting frequency option: Other (free-text).,text,pri_2010_kept,normal,Capture raw value as observed.,PRI 2010 §III.E2.h.
E2i,E2. Lobbyist Disclosure,Are lobbyists required to disclose contacts?,binary,pri_2010_kept,normal,Score 1 if yes; 0 otherwise.,PRI 2010 §III.E2.i. Footnote 91 in source.
